Sample	Aligned Uniquely	Aligned Ambiguously	Did Not Align	No Genomic Sequence
38897_44643_SO1_NC1_A1_1_val_1	3335.0	5627.0	4356414.0	0.0
38897_44643_SO2_NC1_B1_1_val_1	5168.0	5192.0	2477745.0	0.0
38897_44643_SO3_NC1_C2_1_val_1	16812.0	15739.0	8440778.0	0.0
38897_44700_PO1_NC5_D1_1_val_1	29011.0	56688.0	10656120.0	2.0
38897_44700_SO1_NC1_E1_1_val_1	4299.0	8281.0	4161126.0	0.0
38897_44700_SO2_NC1_F1_1_val_1	6563.0	10337.0	3020649.0	0.0
38897_44700_SO3_NC1_G1_1_val_1	8419.0	15808.0	6246110.0	0.0
38897_44700_SO4_NC1_H1_1_val_1	7213.0	7495.0	3446046.0	0.0
39053_45005_PO1_NC2_I1_1_val_1	14120.0	7974.0	2642871.0	0.0
39053_45005_SO1_NC1_J1_1_val_1	11677.0	6632.0	992258.0	0.0
39053_45005_SO2_NC1_K1_1_val_1	11150.0	7044.0	2566312.0	0.0
41237_44641_PO1_NC4_N2_1_val_1	52725.0	70273.0	50201826.0	2.0
41237_44641_SO1_NC1_K2_1_val_1	15154.0	21687.0	26662816.0	0.0
41237_44641_SO2_NC1_L2_1_val_1	19654.0	27753.0	9651351.0	3.0
41237_44641_SO3_NC1_M2_1_val_1	9452.0	13541.0	9072800.0	0.0
41299_44636_SOe_NC1_L1_1_val_1	5080.0	9304.0	1986040.0	0.0
41299_44963_PO1_NC3_N1_1_val_1	4320.0	8136.0	2952986.0	0.0
41299_44963_PO2_NC4_M1_1_val_1	5006.0	12009.0	2323356.0	0.0
41299_44963_PO3_NC3_O1_1_val_1	25732.0	59619.0	4780743.0	0.0
41299_44963_SO1_NC1_P1_1_val_1	3023.0	3456.0	5283051.0	0.0
41299_44963_SO2_NC1_A2_1_val_1	5435.0	13774.0	1845949.0	0.0
41299_44963_SO3_NC1_B2_1_val_1	4443.0	9892.0	1061425.0	0.0
41299_45019_EO1_NC8_C1_1_val_1	487.0	618.0	320708.0	0.0
41299_45019_EO2_NC8_D2_1_val_1	36312.0	17760.0	19622610.0	0.0
41299_45019_EO3_NC8_E2_1_val_1	47826.0	20540.0	25759062.0	0.0
41299_45019_EO4_NC8_F2_1_val_1	41891.0	37344.0	20967962.0	0.0
41299_45019_EO5_NC8_G2_1_val_1	24050.0	26910.0	17858211.0	0.0
41299_45019_EO6_NC8_H2_1_val_1	17650.0	31341.0	7224859.0	1.0
41299_45019_EO7_NC8_I2_1_val_1	444.0	310.0	546788.0	0.0
41299_45019_EO8_NC8_J2_1_val_1	22425.0	34994.0	15179572.0	2.0
41391_44650_PO1_NC4_F3_1_val_1	27650.0	14198.0	12135539.0	1.0
41391_44650_PO2_NC4_G3_1_val_1	28918.0	13960.0	13427170.0	0.0
41391_44650_PO3_NC3_E3_1_val_1	62205.0	28051.0	27091251.0	0.0
41391_44650_SO1_NC1_B3_1_val_1	996.0	1503.0	504497.0	0.0
41391_44650_SO2_NC1_C4_1_val_1	15747.0	7428.0	8542378.0	2.0
41391_44650_SO3_NC1_D3_1_val_1	8546.0	5005.0	4871120.0	1.0
41391_44923_PO1_NC3_H3_1_val_1	55575.0	30213.0	42924561.0	0.0
41391_44923_PO2_NC3_I3_1_val_1	36835.0	18688.0	18400937.0	1.0
41391_44923_PO3_NC5_J3_1_val_1	49110.0	29780.0	4944946.0	0.0
41391_44923_PO4_NC4_K3_1_val_1	20173.0	13946.0	4113102.0	0.0
41391_44923_SO1_NC1_O2_1_val_1	7394.0	4480.0	2375152.0	0.0
41391_44923_SO2_NC1_P2_1_val_1	10669.0	6663.0	2391866.0	0.0
41391_44923_SO3_NC1_A3_1_val_1	148.0	142.0	67852.0	0.0
41460_44643_PO1_NC5_O3_1_val_1	21898.0	45124.0	15215751.0	1.0
41460_44643_PO2_NC5_P3_1_val_1	33349.0	82839.0	18518916.0	0.0
41460_44643_PO3_NC5_A4_1_val_1	31287.0	31234.0	11518207.0	2.0
41460_44643_SO1_NC1_L3_1_val_1	6459.0	3746.0	1368657.0	0.0
41460_44643_SO2_NC1_M3_1_val_1	6584.0	14769.0	6113401.0	0.0
41460_44643_SO3_NC1_N3_1_val_1	8037.0	14209.0	6372315.0	2.0
41460_45001_PO1_NC5_E4_1_val_1	34307.0	72272.0	11937667.0	1.0
41460_45001_PO2_NC3_F4_1_val_1	13682.0	26767.0	2489823.0	0.0
41460_45001_PO3_NC4_G4_1_val_1	7226.0	5252.0	2230537.0	1.0
41460_45001_SO1_NC1_B4_1_val_1	8103.0	10660.0	4661189.0	0.0
41460_45001_SO2_NC1_C3_1_val_1	9034.0	17290.0	5737809.0	1.0
41460_45001_SO3_NC1_D4_1_val_1	3603.0	4811.0	1601065.0	1.0
42111_44957_PO1_NC3_K4_1_val_1	11858.0	23309.0	3141267.0	0.0
42111_44957_PO2_NC3_L4_1_val_1	38697.0	67066.0	9046776.0	0.0
42111_44957_SO1_NC1_H4_1_val_1	6321.0	12668.0	1987291.0	0.0
42111_44957_SO2_NC1_B5_1_val_1	10271.0	11242.0	4805527.0	0.0
42111_44957_SO3_NC1_J4_1_val_1	7502.0	16476.0	3124230.0	0.0
42111_45019_EOo_NC8_M4_1_val_1	6245.0	12687.0	4863485.0	0.0
42473_44998_PO1_NC2_I4_1_val_1	11586.0	29976.0	994246.0	0.0
42473_44998_SO1_NC1_P4_1_val_1	598.0	1348.0	182385.0	0.0
42473_44998_SO2_NC1_A5_1_val_1	8480.0	15078.0	3040590.0	0.0
42473_45061_EO1_NC8_O4_1_val_1	4336.0	9399.0	1461803.0	0.0
42651_45042_PO1_NC3_E5_1_val_1	17495.0	20426.0	11086443.0	0.0
42651_45042_PO2_NC4_N4_1_val_1	10729.0	13049.0	8716952.0	0.0
42651_45042_PO3_NC4_G5_1_val_1	13820.0	34256.0	5030136.0	1.0
42651_45042_SO1_NC1_C6_1_val_1	5792.0	10097.0	2440373.0	0.0
42651_45042_SO2_NC1_D5_1_val_1	4695.0	10863.0	1309065.0	0.0
42651_45042_SO3_NC1_F5_1_val_1	36698.0	35743.0	28747332.0	2.0
43028_44664_PO2_NC5_K5_1_val_1	39326.0	32405.0	33767832.0	0.0
43028_44664_SO1_NC1_H5_1_val_1	12381.0	19941.0	9492858.0	0.0
43028_44664_SO2_NC1_I5_1_val_1	15064.0	17209.0	6292551.0	0.0
43028_44664_SO3_NC1_J5_1_val_1	21160.0	33609.0	16910056.0	2.0
43051_44931_SO1_NC1_L5_1_val_1	44075.0	68178.0	28001114.0	2.0
43051_45068_EO1_NC8_M5_1_val_1	4983.0	10885.0	2112546.0	0.0
43051_45068_EO2_NC8_N5_1_val_1	9.0	20.0	3537.0	0.0
43051_45068_EO3_NC8_O5_1_val_1	8959.0	13661.0	6143600.0	0.0
44218_44676_PO1_NC4_M6_1_val_1	11323.0	27906.0	1571158.0	0.0
44218_44676_SO1_NC1_J6_1_val_1	4592.0	3553.0	4378643.0	0.0
44218_44676_SO2_NC1_K6_1_val_1	9178.0	17317.0	3798453.0	0.0
44218_44676_SO3_NC1_L6_1_val_1	7692.0	4023.0	2727284.0	0.0
44564_44991_PO1_NC3_H6_1_val_1	41164.0	37274.0	17480044.0	3.0
44564_44991_SO1_NC1_E6_1_val_1	5244.0	2380.0	964382.0	0.0
44564_44991_SO2_NC1_F6_1_val_1	9752.0	14076.0	2491489.0	0.0
44564_44991_SO3_NC1_G6_1_val_1	1239.0	2738.0	349306.0	0.0
44994_45005_PO1_NC3_B6_1_val_1	4271.0	2382.0	1913439.0	0.0
44994_45005_PO2_NC3_C5_1_val_1	16317.0	7640.0	6033277.0	0.0
44994_45005_SO1_NC1_P5_1_val_1	2024.0	4142.0	2112279.0	0.0
44994_45005_SO2_NC1_A6_1_val_1	7000.0	3600.0	2319817.0	0.0
44994_45005_SO3_NC1_D6_1_val_1	12044.0	5950.0	2229905.0	0.0
45208_44650_PO1_NC5_A7_1_val_1	4663.0	9514.0	2423289.0	0.0
45208_44650_PO2_NC3_B7_1_val_1	3707.0	6313.0	2556656.0	0.0
45208_44650_PO3_NC5_C8_1_val_1	42735.0	80276.0	14735225.0	1.0
45208_44650_SO1_NC1_N6_1_val_1	36606.0	50332.0	21256480.0	1.0
45208_44650_SO2_NC1_O6_1_val_1	15376.0	26605.0	10908792.0	0.0
45208_44650_SO3_NC1_P6_1_val_1	838.0	595.0	1110404.0	0.0
45208_45054_BL1_NC16_I7_1_val_1	3611.0	9953.0	768814.0	0.0
45208_45054_BL2_NC16_J7_1_val_1	22246.0	20078.0	32154243.0	0.0
45208_45054_BL3_NC16_K7_1_val_1	28545.0	18999.0	13434165.0	0.0
45208_45054_BL4_NC16_L7_1_val_1	24763.0	26407.0	28826379.0	1.0
45208_45054_BL5_NC16_M7_1_val_1	16769.0	19140.0	22265835.0	0.0
45208_45054_BL6_NC16_N7_1_val_1	15335.0	15480.0	11494223.0	0.0
45208_45054_EO1_NC8_D7_1_val_1	28556.0	71427.0	11185018.0	2.0
45208_45054_EO2_NC8_E7_1_val_1	3761.0	8348.0	562123.0	0.0
45208_45054_EO3_NC8_F7_1_val_1	2883.0	3651.0	1823719.0	0.0
45208_45054_EO4_NC8_G7_1_val_1	6832.0	7722.0	8651540.0	0.0
45208_45054_EO5_NC8_H7_1_val_1	8099.0	7562.0	5939604.0	0.0
45669_44700_PO1_NC5_O8_1_val_1	16638.0	9232.0	8283594.0	0.0
45669_44700_PO2_NC5_P8_1_val_1	34889.0	20461.0	14887662.0	0.0
45669_44700_PO3_NC4_A9_1_val_1	68516.0	31828.0	28264102.0	0.0
45669_44700_SO1_NC1_L8_1_val_1	23057.0	53753.0	5342700.0	1.0
45669_44700_SO2_NC1_M8_1_val_1	7055.0	5140.0	5945700.0	0.0
45669_44700_SO3_NC1_N8_1_val_1	4919.0	2383.0	2721801.0	0.0
45669_44964_PO1_NC4_B8_1_val_1	4111.0	2027.0	887610.0	0.0
45669_44964_PO2_NC4_C7_1_val_1	12257.0	6914.0	4422348.0	0.0
45669_44964_PO3_NC3_D8_1_val_1	16807.0	6480.0	5005812.0	1.0
45669_44964_PO4_NC3_E8_1_val_1	19402.0	8589.0	6320135.0	1.0
45669_44964_SO1_NC1_O7_1_val_1	46479.0	27997.0	25576080.0	0.0
45669_44964_SO2_NC1_P7_1_val_1	4437.0	2916.0	1448299.0	1.0
45669_44964_SO3_NC1_A8_1_val_1	8927.0	4227.0	5625605.0	0.0
45982_44908_PO1_NC3_J8_1_val_1	3932.0	4632.0	4252454.0	0.0
45982_44908_PO2_NC4_K8_1_val_1	21524.0	43392.0	4273945.0	1.0
45982_44908_SO1_NC1_G8_1_val_1	30305.0	84723.0	6396454.0	2.0
45982_44908_SO2_NC1_H8_1_val_1	18845.0	25486.0	5652235.0	0.0
45982_44908_SO3_NC1_I8_1_val_1	9412.0	19494.0	2814089.0	0.0
45982_45001_PO1_NC3_E9_1_val_1	11689.0	30427.0	1684567.0	2.0
45982_45001_PO2_NC4_F8_1_val_1	19561.0	9984.0	5609976.0	0.0
45982_45001_SO1_NC1_B9_1_val_1	23078.0	12274.0	16934741.0	0.0
45982_45001_SO2_NC1_C10_1_val_1	6751.0	12603.0	1162661.0	0.0
45982_45001_SO3_NC1_D9_1_val_1	8363.0	18003.0	2226686.0	1.0
46363_44664_PO1_NC5_L9_1_val_1	10100.0	10656.0	8121215.0	0.0
46363_44664_SO1_NC1_I9_1_val_1	73888.0	82193.0	55717727.0	3.0
46363_44664_SO2_NC1_J9_1_val_1	10297.0	14015.0	9628774.0	1.0
