Sample	Deduplicated reads (remaining)	Duplicate reads (removed)
38897_44643_SO1_NC1_A1_1_val_1	3163.0	172.0
38897_44643_SO2_NC1_B1_1_val_1	4847.0	321.0
38897_44643_SO3_NC1_C2_1_val_1	15616.0	1196.0
38897_44700_PO1_NC5_D1_1_val_1	26832.0	2177.0
38897_44700_SO1_NC1_E1_1_val_1	4056.0	243.0
38897_44700_SO2_NC1_F1_1_val_1	6124.0	439.0
38897_44700_SO3_NC1_G1_1_val_1	7869.0	550.0
38897_44700_SO4_NC1_H1_1_val_1	6733.0	480.0
39053_45005_PO1_NC2_I1_1_val_1	13118.0	1002.0
39053_45005_SO1_NC1_J1_1_val_1	10857.0	820.0
39053_45005_SO2_NC1_K1_1_val_1	10417.0	733.0
41237_44641_PO1_NC4_N2_1_val_1	49444.0	3279.0
41237_44641_SO1_NC1_K2_1_val_1	14384.0	770.0
41237_44641_SO2_NC1_L2_1_val_1	18394.0	1257.0
41237_44641_SO3_NC1_M2_1_val_1	8902.0	550.0
41299_44636_SOe_NC1_L1_1_val_1	4802.0	278.0
41299_44963_PO1_NC3_N1_1_val_1	4101.0	219.0
41299_44963_PO2_NC4_M1_1_val_1	4720.0	286.0
41299_44963_PO3_NC3_O1_1_val_1	23631.0	2101.0
41299_44963_SO1_NC1_P1_1_val_1	2875.0	148.0
41299_44963_SO2_NC1_A2_1_val_1	5068.0	367.0
41299_44963_SO3_NC1_B2_1_val_1	4169.0	274.0
41299_45019_EO1_NC8_C1_1_val_1	453.0	34.0
41299_45019_EO2_NC8_D2_1_val_1	33820.0	2492.0
41299_45019_EO3_NC8_E2_1_val_1	44876.0	2950.0
41299_45019_EO4_NC8_F2_1_val_1	39166.0	2725.0
41299_45019_EO5_NC8_G2_1_val_1	22472.0	1578.0
41299_45019_EO6_NC8_H2_1_val_1	16405.0	1244.0
41299_45019_EO7_NC8_I2_1_val_1	413.0	31.0
41299_45019_EO8_NC8_J2_1_val_1	20838.0	1585.0
41391_44650_PO1_NC4_F3_1_val_1	26726.0	923.0
41391_44650_PO2_NC4_G3_1_val_1	28014.0	904.0
41391_44650_PO3_NC3_E3_1_val_1	60205.0	2000.0
41391_44650_SO1_NC1_B3_1_val_1	954.0	42.0
41391_44650_SO2_NC1_C4_1_val_1	15246.0	499.0
41391_44650_SO3_NC1_D3_1_val_1	8313.0	232.0
41391_44923_PO1_NC3_H3_1_val_1	53934.0	1641.0
41391_44923_PO2_NC3_I3_1_val_1	35666.0	1168.0
41391_44923_PO3_NC5_J3_1_val_1	46326.0	2784.0
41391_44923_PO4_NC4_K3_1_val_1	19413.0	760.0
41391_44923_SO1_NC1_O2_1_val_1	6943.0	451.0
41391_44923_SO2_NC1_P2_1_val_1	9972.0	697.0
41391_44923_SO3_NC1_A3_1_val_1	145.0	3.0
41460_44643_PO1_NC5_O3_1_val_1	21148.0	749.0
41460_44643_PO2_NC5_P3_1_val_1	31863.0	1486.0
41460_44643_PO3_NC5_A4_1_val_1	30308.0	977.0
41460_44643_SO1_NC1_L3_1_val_1	6305.0	154.0
41460_44643_SO2_NC1_M3_1_val_1	6441.0	143.0
41460_44643_SO3_NC1_N3_1_val_1	7813.0	222.0
41460_45001_PO1_NC5_E4_1_val_1	32918.0	1388.0
41460_45001_PO2_NC3_F4_1_val_1	13237.0	445.0
41460_45001_PO3_NC4_G4_1_val_1	7060.0	165.0
41460_45001_SO1_NC1_B4_1_val_1	7856.0	247.0
41460_45001_SO2_NC1_C3_1_val_1	8749.0	284.0
41460_45001_SO3_NC1_D4_1_val_1	3505.0	97.0
42111_44957_PO1_NC3_K4_1_val_1	11459.0	399.0
42111_44957_PO2_NC3_L4_1_val_1	37238.0	1459.0
42111_44957_SO1_NC1_H4_1_val_1	6133.0	188.0
42111_44957_SO2_NC1_B5_1_val_1	9766.0	505.0
42111_44957_SO3_NC1_J4_1_val_1	7269.0	233.0
42111_45019_EOo_NC8_M4_1_val_1	6077.0	168.0
42473_44998_PO1_NC2_I4_1_val_1	11186.0	400.0
42473_44998_SO1_NC1_P4_1_val_1	585.0	13.0
42473_44998_SO2_NC1_A5_1_val_1	8025.0	455.0
42473_45061_EO1_NC8_O4_1_val_1	4208.0	128.0
42651_45042_PO1_NC3_E5_1_val_1	16688.0	807.0
42651_45042_PO2_NC4_N4_1_val_1	10463.0	266.0
42651_45042_PO3_NC4_G5_1_val_1	13146.0	673.0
42651_45042_SO1_NC1_C6_1_val_1	5522.0	270.0
42651_45042_SO2_NC1_D5_1_val_1	4487.0	208.0
42651_45042_SO3_NC1_F5_1_val_1	34977.0	1719.0
43028_44664_PO2_NC5_K5_1_val_1	37518.0	1808.0
43028_44664_SO1_NC1_H5_1_val_1	11820.0	561.0
43028_44664_SO2_NC1_I5_1_val_1	14372.0	692.0
43028_44664_SO3_NC1_J5_1_val_1	20066.0	1092.0
43051_44931_SO1_NC1_L5_1_val_1	41712.0	2361.0
43051_45068_EO1_NC8_M5_1_val_1	4744.0	239.0
43051_45068_EO2_NC8_N5_1_val_1	9.0	0.0
43051_45068_EO3_NC8_O5_1_val_1	8531.0	428.0
44218_44676_PO1_NC4_M6_1_val_1	10640.0	683.0
44218_44676_SO1_NC1_J6_1_val_1	4363.0	229.0
44218_44676_SO2_NC1_K6_1_val_1	8751.0	427.0
44218_44676_SO3_NC1_L6_1_val_1	7354.0	338.0
44564_44991_PO1_NC3_H6_1_val_1	39112.0	2049.0
44564_44991_SO1_NC1_E6_1_val_1	4986.0	258.0
44564_44991_SO2_NC1_F6_1_val_1	9230.0	522.0
44564_44991_SO3_NC1_G6_1_val_1	1196.0	43.0
44994_45005_PO1_NC3_B6_1_val_1	4071.0	200.0
44994_45005_PO2_NC3_C5_1_val_1	15637.0	680.0
44994_45005_SO1_NC1_P5_1_val_1	1947.0	77.0
44994_45005_SO2_NC1_A6_1_val_1	6662.0	338.0
44994_45005_SO3_NC1_D6_1_val_1	11438.0	606.0
45208_44650_PO1_NC5_A7_1_val_1	4522.0	141.0
45208_44650_PO2_NC3_B7_1_val_1	3579.0	128.0
45208_44650_PO3_NC5_C8_1_val_1	40658.0	2076.0
45208_44650_SO1_NC1_N6_1_val_1	34615.0	1990.0
45208_44650_SO2_NC1_O6_1_val_1	14681.0	695.0
45208_44650_SO3_NC1_P6_1_val_1	814.0	24.0
45208_45054_BL1_NC16_I7_1_val_1	3486.0	125.0
45208_45054_BL2_NC16_J7_1_val_1	21500.0	746.0
45208_45054_BL3_NC16_K7_1_val_1	27542.0	1003.0
45208_45054_BL4_NC16_L7_1_val_1	23893.0	869.0
45208_45054_BL5_NC16_M7_1_val_1	16242.0	527.0
45208_45054_BL6_NC16_N7_1_val_1	14753.0	582.0
45208_45054_EO1_NC8_D7_1_val_1	27195.0	1359.0
45208_45054_EO2_NC8_E7_1_val_1	3617.0	144.0
45208_45054_EO3_NC8_F7_1_val_1	2783.0	100.0
45208_45054_EO4_NC8_G7_1_val_1	6595.0	237.0
45208_45054_EO5_NC8_H7_1_val_1	7844.0	255.0
45669_44700_PO1_NC5_O8_1_val_1	15984.0	654.0
45669_44700_PO2_NC5_P8_1_val_1	33361.0	1528.0
45669_44700_PO3_NC4_A9_1_val_1	65131.0	3385.0
45669_44700_SO1_NC1_L8_1_val_1	21929.0	1127.0
45669_44700_SO2_NC1_M8_1_val_1	6837.0	218.0
45669_44700_SO3_NC1_N8_1_val_1	4770.0	149.0
45669_44964_PO1_NC4_B8_1_val_1	3977.0	134.0
45669_44964_PO2_NC4_C7_1_val_1	11797.0	460.0
45669_44964_PO3_NC3_D8_1_val_1	16163.0	643.0
45669_44964_PO4_NC3_E8_1_val_1	18585.0	816.0
45669_44964_SO1_NC1_O7_1_val_1	44704.0	1775.0
45669_44964_SO2_NC1_P7_1_val_1	4281.0	155.0
45669_44964_SO3_NC1_A8_1_val_1	8593.0	334.0
45982_44908_PO1_NC3_J8_1_val_1	3815.0	117.0
45982_44908_PO2_NC4_K8_1_val_1	20558.0	965.0
45982_44908_SO1_NC1_G8_1_val_1	28644.0	1659.0
45982_44908_SO2_NC1_H8_1_val_1	18093.0	752.0
45982_44908_SO3_NC1_I8_1_val_1	9070.0	342.0
45982_45001_PO1_NC3_E9_1_val_1	11101.0	586.0
45982_45001_PO2_NC4_F8_1_val_1	18796.0	765.0
45982_45001_SO1_NC1_B9_1_val_1	22140.0	938.0
45982_45001_SO2_NC1_C10_1_val_1	6432.0	319.0
45982_45001_SO3_NC1_D9_1_val_1	8023.0	339.0
46363_44664_PO1_NC5_L9_1_val_1	9689.0	411.0
46363_44664_SO1_NC1_I9_1_val_1	70638.0	3247.0
46363_44664_SO2_NC1_J9_1_val_1	9907.0	389.0
46363_44664_SO3_NC1_K9_1_val_1	15650.0	728.0
46363_44914_PO1_NC4_H9_1_val_1	18256.0	859.0
46363_44914_SO1_NC1_F9_1_val_1	19105.0	872.0
46363_44914_SO2_NC1_G9_1_val_1	36525.0	1766.0
46363_44914_SO3_NC1_I6_1_val_1	10113.0	538.0
46606_44938_PO1_NC4_P9_1_val_1	10823.0	566.0
46606_44938_PO2_NC3_A10_1_val_1	14796.0	697.0
46606_44938_PO3_NC5_B10_1_val_1	17511.0	930.0
46606_44938_SO1_NC1_M9_1_val_1	28369.0	1157.0
46606_44938_SO2_NC1_N9_1_val_1	9775.0	421.0
46606_44938_SO3_NC1_O9_1_val_1	9900.0	515.0
46606_44993_PO1_NC5_C9_1_val_1	1990.0	82.0
46606_44993_PO2_NC5_D10_1_val_1	21037.0	1175.0
46606_44993_PO3_NC5_E10_1_val_1	21098.0	980.0
46606_44993_PO4_NC5_F10_1_val_1	51431.0	2768.0
