Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130
38897_44643_SO1_NC1_A1_1_val_1	68.75	50.0	61.54	60.47	44.44	55.32	53.41	53.7	58.46	58.67	54.29	52.63	61.25	55.26	48.33	52.73	46.88	62.96	56.72	53.52	56.25	62.65	63.29	58.57	71.01	63.89	53.75	60.94	52.05	50.6	71.83	68.06	53.97	70.59	61.76	61.54	46.91	53.62	53.76	51.85	61.64	59.32	46.88	66.67	58.54	64.2	61.33	51.56	56.96	61.33	61.29	59.26	60.87	57.89	66.1	59.26	63.08	54.88	60.0	59.09	76.81	67.53	57.69	55.56	57.38	52.0	71.43	56.79	64.15	60.87	67.53	53.01	61.76	52.24	50.98	51.52	60.71	58.21	68.57	68.18	50.0	51.61	61.54	57.53	45.71	67.24	64.71	48.48	57.38	54.55	56.25	53.85	54.93	68.6	54.84	62.86	51.72	62.5	55.22	62.5	70.18	51.67	58.23	60.32	56.67	51.67	58.93	54.55	42.65	59.26	60.38	65.0	42.86	58.18	56.72	55.56	62.07	56.45	47.73	48.98	66.67	57.14	36.96	41.67	52.0	60.71	50.98	54.9	51.11	40.74
38897_44643_SO2_NC1_B1_1_val_1	53.33	35.14	23.26	17.76	28.57	25.76	23.32	21.14	21.84	19.9	23.5	19.02	26.11	23.86	22.42	23.46	23.95	23.17	24.51	19.31	23.81	22.73	26.01	21.94	23.63	26.86	21.79	22.5	25.0	20.26	27.16	24.73	19.68	20.45	23.7	24.19	29.37	25.17	26.97	26.32	27.55	28.49	26.82	23.6	25.0	30.56	21.43	22.16	25.57	22.22	28.8	23.89	26.84	23.42	22.53	23.5	25.4	23.03	28.87	25.48	31.58	23.08	22.22	25.64	28.66	23.42	24.18	23.17	22.62	27.45	24.4	30.49	21.39	22.22	21.59	27.39	29.34	26.55	25.16	17.95	19.39	23.2	29.73	27.54	29.28	20.8	24.42	20.34	30.77	21.79	15.57	21.76	28.57	25.93	26.25	30.77	30.29	30.25	22.5	16.11	20.65	22.41	20.51	23.56	27.33	21.79	23.6	24.5	26.59	28.66	25.16	25.15	19.51	15.95	17.29	28.48	21.11	25.97	16.03	19.42	20.89	19.87	20.13	13.97	19.64	17.57	27.45	21.71	15.87	17.78
38897_44643_SO3_NC1_C2_1_val_1	27.66	31.78	25.97	19.02	20.55	16.33	22.39	17.52	13.47	18.86	16.84	20.93	20.43	24.39	16.81	17.75	17.98	17.72	19.06	18.62	20.95	18.72	19.22	17.58	20.9	18.28	17.52	18.59	22.09	17.13	17.46	22.87	15.6	16.42	19.51	15.38	20.43	18.35	17.54	16.46	20.0	20.83	17.41	19.28	22.48	17.82	14.82	19.94	17.37	17.66	21.44	21.05	21.76	20.33	18.44	19.35	20.21	20.0	22.69	22.83	17.87	17.33	18.31	19.46	17.41	17.08	17.88	19.0	17.95	23.71	20.47	20.75	17.69	22.06	15.69	23.36	23.44	16.47	18.34	19.42	18.73	19.1	16.59	20.25	17.31	20.55	16.13	18.55	18.15	12.16	17.23	20.51	16.58	18.81	19.3	21.32	19.57	20.08	16.87	18.58	15.72	17.99	17.85	23.99	20.75	24.09	19.34	19.34	16.75	15.41	18.47	15.46	15.01	13.89	16.67	16.9	13.83	13.97	16.14	16.76	16.4	15.51	13.98	14.23	12.69	17.47	16.4	16.6	15.3	15.36
38897_44700_PO1_NC5_D1_1_val_1	70.49	62.15	66.67	65.28	70.59	58.12	64.33	62.62	60.32	60.56	59.7	60.32	62.86	67.84	60.05	61.19	59.16	65.97	60.68	63.71	61.42	62.59	63.31	58.63	57.88	62.75	60.35	62.95	61.79	62.14	66.7	61.05	60.59	58.46	64.74	61.66	63.23	65.24	62.28	65.93	63.7	65.03	61.4	60.29	62.66	63.67	63.89	63.9	60.21	64.5	61.19	60.58	63.82	65.12	65.53	64.63	66.19	62.95	65.13	62.05	64.9	66.06	61.01	63.77	62.09	63.29	64.26	63.04	63.15	65.4	65.99	62.05	57.11	61.87	64.3	59.31	61.9	59.22	62.54	59.23	61.65	60.03	60.24	60.26	58.6	63.43	63.73	60.12	61.37	59.48	58.91	59.01	64.52	65.15	61.99	65.61	64.88	66.33	64.29	64.3	63.45	64.23	61.82	63.64	67.72	67.78	61.99	63.4	63.17	65.71	61.19	55.43	57.46	62.37	57.03	63.06	54.67	58.71	52.73	59.8	55.85	56.74	58.03	53.62	57.37	54.46	52.07	53.58	57.53	56.76
38897_44700_SO1_NC1_E1_1_val_1	67.74	72.73	56.41	64.86	66.67	67.98	63.97	69.05	68.6	72.04	61.26	70.54	73.08	58.33	73.96	72.04	76.85	59.22	75.0	75.7	65.71	67.0	68.64	75.65	64.81	68.14	75.21	73.64	68.32	67.24	70.0	77.57	75.0	67.72	66.36	53.19	70.09	65.31	63.37	69.64	77.19	72.03	67.27	68.0	67.62	66.93	74.77	62.86	68.18	68.47	69.49	68.37	69.07	71.3	68.22	66.96	68.91	83.64	72.0	72.73	72.57	71.31	69.57	64.0	70.91	69.42	68.93	72.22	66.67	70.91	73.08	65.35	75.83	67.77	71.88	76.38	76.92	68.0	66.67	79.59	66.96	66.98	68.75	68.27	75.26	67.35	74.07	60.23	74.44	72.41	64.44	69.23	71.29	76.77	80.81	71.29	72.57	71.03	68.18	73.86	67.39	70.3	65.22	76.4	71.2	69.83	70.0	66.0	73.12	51.32	70.19	62.5	68.57	60.75	75.68	67.14	63.54	71.25	68.82	74.03	64.79	58.97	58.33	68.18	60.0	66.2	63.16	65.43	60.56	66.67
38897_44700_SO2_NC1_F1_1_val_1	61.54	67.35	58.7	60.66	60.78	47.27	47.84	54.27	46.77	49.49	52.17	47.8	48.18	52.13	49.54	48.63	48.77	49.19	51.16	50.7	53.09	49.02	51.47	47.85	53.73	44.67	49.16	46.47	47.74	50.75	53.4	44.55	45.81	47.87	46.67	48.22	46.31	49.78	51.97	55.71	43.68	48.62	42.94	50.45	58.29	57.14	50.52	53.14	48.17	54.42	43.52	53.07	50.0	50.85	50.91	47.5	55.41	46.83	51.79	50.79	55.61	49.27	55.8	47.0	49.78	49.46	50.0	44.5	51.8	51.85	53.59	56.34	54.25	50.0	42.33	52.49	56.52	53.24	49.51	55.17	50.0	46.77	47.72	44.76	49.04	55.43	55.0	54.44	54.07	50.52	57.8	40.89	49.79	55.28	52.81	56.0	49.73	49.22	48.34	52.38	50.83	45.73	40.35	50.0	51.72	54.76	51.24	53.2	51.93	49.75	44.04	43.15	42.13	45.88	38.95	47.03	45.81	46.91	38.31	41.51	42.19	50.85	49.35	42.94	43.37	40.96	43.18	48.55	44.08	53.73
38897_44700_SO3_NC1_G1_1_val_1	78.33	86.79	81.97	83.61	79.25	78.65	82.3	82.81	84.88	82.83	84.82	78.79	85.17	76.56	80.1	81.07	86.34	84.31	80.3	79.15	82.8	85.64	79.3	86.64	82.85	87.5	84.51	80.28	85.71	84.5	83.67	79.19	74.29	77.83	84.8	82.11	87.61	81.71	83.59	82.22	84.86	84.15	82.97	81.22	84.06	80.65	81.9	78.7	83.33	87.72	85.71	84.09	87.14	81.19	84.29	81.19	83.19	82.19	80.45	87.7	82.87	82.4	85.96	84.72	82.45	77.36	83.26	78.17	81.99	87.97	84.98	82.3	80.61	82.11	78.51	82.35	80.0	87.01	81.63	77.09	89.36	84.45	86.26	84.65	83.61	85.98	85.14	83.27	83.16	80.91	83.96	77.51	83.42	88.52	83.16	77.6	87.21	83.65	87.5	82.24	85.77	83.1	77.07	77.63	86.85	89.27	80.81	83.57	79.33	82.21	83.42	77.22	78.89	81.86	81.55	80.98	80.38	80.65	81.29	82.7	78.61	81.25	81.31	78.16	81.16	73.46	80.25	69.54	78.01	80.6
38897_44700_SO4_NC1_H1_1_val_1	57.69	57.63	48.0	41.67	40.62	39.68	44.06	43.06	46.41	41.03	40.78	46.32	47.84	43.97	44.74	43.33	52.17	44.66	44.98	49.17	48.84	48.12	47.16	47.13	44.44	45.35	48.26	45.98	50.81	40.62	52.76	44.0	49.37	46.52	46.88	46.89	47.58	45.65	40.15	43.19	43.04	47.26	57.14	49.55	45.75	51.33	48.15	52.42	48.56	50.0	45.08	51.33	50.66	45.45	48.86	46.51	48.69	47.39	48.33	52.16	50.0	47.5	43.21	51.76	42.92	50.21	48.31	49.39	46.26	44.5	50.19	42.61	45.02	49.08	49.11	47.77	44.55	49.0	42.42	50.21	45.91	40.0	47.69	48.82	46.31	48.94	57.34	49.02	46.08	45.71	48.36	46.64	45.05	44.29	39.45	42.98	45.42	50.42	51.2	47.0	50.59	47.24	45.95	48.36	49.78	44.4	39.46	46.15	41.82	46.19	55.02	47.75	40.74	46.26	38.28	49.01	40.51	51.31	44.28	46.51	45.62	40.44	41.84	40.86	39.13	46.63	45.45	38.98	45.18	43.0
39053_45005_PO1_NC2_I1_1_val_1	75.86	80.0	84.09	87.1	86.36	75.87	82.59	85.67	82.12	82.22	82.04	82.93	83.52	81.52	82.16	83.0	88.52	85.23	86.77	84.32	83.73	83.53	85.43	83.25	87.68	83.63	82.67	83.02	84.08	84.32	85.89	81.27	85.79	87.65	83.42	85.37	87.63	85.25	84.53	84.94	84.93	86.57	88.72	87.43	86.54	85.87	82.95	86.49	84.21	86.35	88.72	86.75	88.67	88.41	87.5	84.64	82.81	85.9	86.95	88.97	90.55	87.08	85.56	85.47	89.88	87.14	88.59	87.46	84.86	86.55	81.36	83.46	86.6	86.05	88.94	90.73	88.95	88.38	90.03	80.57	82.23	80.87	82.01	87.46	86.02	85.2	85.25	88.46	85.55	90.05	86.91	88.92	87.22	85.67	85.14	86.11	83.09	88.48	85.43	86.25	88.11	90.0	82.35	84.39	85.91	87.47	87.06	87.93	85.21	84.96	84.59	82.91	88.42	86.39	89.06	85.16	82.07	82.54	77.33	81.82	81.79	84.98	83.0	84.29	86.23	86.74	84.26	83.89	82.48	84.57
39053_45005_SO1_NC1_J1_1_val_1	72.22	81.69	87.5	85.39	79.17	82.22	88.19	93.7	93.63	93.53	90.62	90.73	90.61	92.05	90.19	87.91	91.61	93.33	94.12	92.08	94.41	94.66	95.54	90.96	90.57	92.86	91.73	90.91	92.03	94.24	92.69	90.27	90.94	90.17	93.06	93.5	93.94	92.47	93.25	93.79	93.49	94.6	93.79	94.38	93.19	95.27	92.28	92.68	92.23	93.51	93.18	92.45	94.74	97.27	91.29	90.4	91.43	90.82	93.07	96.27	94.92	96.47	95.61	93.23	93.99	95.3	95.76	94.34	88.62	90.8	91.24	91.38	91.17	93.87	92.48	93.03	93.78	94.21	93.4	93.29	91.72	92.93	91.61	93.23	89.02	94.44	93.28	92.88	92.78	96.14	94.85	95.58	95.38	94.92	93.94	92.95	92.83	93.21	92.99	94.86	92.49	95.45	95.81	94.74	94.3	93.2	93.89	95.34	93.09	92.8	93.41	92.65	95.82	93.65	92.76	92.76	93.23	93.71	92.75	87.41	82.7	90.4	88.37	90.09	91.09	93.43	93.47	94.01	89.25	95.76
