Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130
38897_44643_SO1_NC1_A1_1_val_1	58.61	59.06	60.48	62.17	63.14	71.35	74.75	69.14	70.73	71.23	72.64	73.8	71.49	74.61	74.73	74.19	75.11	72.74	73.61	72.63	73.0	71.9	75.29	71.98	73.87	72.75	75.32	72.53	72.0	71.5	74.73	73.59	72.51	72.76	73.93	72.77	70.9	71.29	73.32	73.4	69.48	75.4	73.1	71.82	69.93	73.67	74.06	73.33	72.99	75.1	73.88	70.99	72.4	72.65	72.55	72.35	70.71	72.6	72.88	69.72	71.71	69.39	74.7	73.16	72.81	72.64	74.57	71.1	71.73	69.54	73.58	70.6	71.18	72.45	70.31	72.53	74.14	70.94	70.78	71.77	71.7	65.81	68.77	70.15	72.25	70.0	69.98	70.27	71.31	70.52	73.02	71.05	73.52	68.2	74.55	68.22	72.6	71.61	70.45	71.97	72.16	73.06	73.86	70.22	70.4	70.21	72.05	70.48	71.66	72.39	68.26	71.2	71.24	67.67	70.85	71.72	70.86	67.98	71.31	72.19	73.03	69.25	70.97	71.81	70.63	72.17	68.06	71.49	71.97	65.45
38897_44643_SO2_NC1_B1_1_val_1	36.66	37.17	38.96	41.31	44.18	48.75	49.45	46.76	46.99	48.1	46.95	49.86	48.73	50.87	50.69	48.63	50.42	49.62	49.47	49.85	49.61	50.38	50.19	50.67	48.37	51.75	52.1	51.74	50.97	48.2	48.15	48.06	47.26	50.33	51.77	49.19	51.37	46.49	47.19	48.01	48.71	50.14	49.03	47.6	44.8	46.35	47.53	46.64	48.54	49.2	50.4	46.52	46.71	47.94	47.23	47.05	49.08	47.88	49.43	47.5	48.68	47.7	47.48	50.52	48.45	48.1	46.69	49.35	48.38	47.78	49.2	49.18	49.07	48.94	48.72	48.19	49.1	49.02	46.61	46.87	47.72	45.41	48.2	48.5	46.44	47.18	47.78	44.74	46.95	45.69	47.4	48.88	44.16	44.07	43.59	46.96	46.41	45.51	45.25	49.53	47.9	48.92	50.59	50.84	49.11	50.06	47.42	47.89	47.69	48.02	48.0	41.9	46.09	45.09	47.5	45.85	48.64	48.09	48.38	50.74	50.35	47.04	46.47	47.02	49.17	47.73	48.83	48.3	49.86	47.22
38897_44643_SO3_NC1_C2_1_val_1	26.0	26.78	27.34	28.56	28.34	39.47	43.66	40.19	39.62	37.82	38.61	38.08	39.16	41.76	41.77	42.93	42.45	41.27	41.19	42.18	40.25	40.2	41.57	43.93	42.37	41.98	41.91	40.97	39.38	40.16	40.14	40.41	40.53	40.33	40.51	41.0	40.57	39.9	41.94	41.76	41.09	39.45	38.85	39.48	39.14	39.03	39.38	38.95	38.93	40.07	39.89	39.37	36.36	36.14	38.36	38.21	39.47	40.84	39.53	39.82	37.12	39.22	38.26	39.22	39.05	39.63	39.53	40.45	40.38	39.97	40.56	39.55	39.18	38.49	40.42	38.31	38.95	37.5	37.5	37.15	36.64	38.29	39.46	39.51	38.55	38.92	38.2	38.78	38.12	38.45	38.6	38.32	37.6	37.58	38.24	39.71	37.22	38.4	36.93	37.94	37.89	38.0	38.75	37.77	38.52	38.78	41.33	39.27	38.49	38.55	37.81	38.38	38.32	40.26	37.93	38.5	39.09	38.69	39.03	39.29	40.18	36.56	35.79	36.99	36.58	37.65	39.91	41.38	41.72	36.03
38897_44700_PO1_NC5_D1_1_val_1	59.68	61.48	62.08	64.67	67.46	74.07	77.74	76.97	76.43	78.38	78.7	78.29	79.11	79.41	79.29	79.5	80.05	78.91	79.63	78.97	78.67	78.7	79.04	79.83	79.44	79.92	78.79	78.24	78.61	78.81	78.62	78.04	77.72	78.84	78.78	79.19	78.3	78.22	79.08	79.08	79.32	78.31	78.63	77.93	78.06	77.65	78.26	78.64	78.48	79.46	79.3	77.72	77.47	77.7	76.83	76.74	76.96	77.3	77.91	77.69	78.69	78.39	77.81	78.27	78.16	78.58	79.03	77.83	79.63	79.34	79.33	78.81	79.64	78.65	78.57	78.95	79.16	78.4	78.6	77.03	77.98	77.15	77.63	77.62	79.09	78.33	78.46	78.13	77.75	78.93	77.59	78.0	77.98	78.46	77.8	78.25	79.2	78.53	78.41	78.29	77.86	78.58	78.98	78.4	78.41	77.27	78.07	77.55	77.96	77.54	78.33	77.3	78.5	78.29	78.08	77.08	78.99	78.51	79.05	79.08	78.92	77.97	77.91	79.01	78.98	77.3	79.13	77.97	79.96	77.52
38897_44700_SO1_NC1_E1_1_val_1	59.28	65.2	64.57	66.09	71.88	76.61	76.83	78.89	76.34	80.02	78.43	79.57	82.01	80.38	79.55	78.88	79.98	82.66	80.25	78.75	81.88	79.38	78.7	79.7	80.09	80.0	80.39	79.93	79.26	79.72	78.29	79.4	78.76	78.69	78.65	78.92	78.6	79.5	79.33	79.55	80.17	78.17	77.45	79.34	80.49	77.53	77.95	78.18	79.56	80.82	77.56	80.78	78.85	81.12	78.16	80.41	79.78	78.11	78.1	78.87	81.34	79.34	78.71	78.34	80.98	80.39	78.53	79.33	80.3	81.34	79.19	80.09	79.36	83.09	80.79	78.56	79.22	78.98	76.95	79.52	78.66	78.57	78.71	79.21	77.45	79.64	76.84	79.52	82.83	80.51	78.99	79.14	79.45	77.82	78.24	79.04	80.1	79.53	79.17	78.8	78.12	78.86	78.63	79.53	80.33	80.43	77.79	78.62	78.69	79.62	80.68	80.99	78.9	79.68	78.79	81.41	78.88	79.24	82.48	80.28	78.36	77.39	80.46	79.74	76.99	79.46	78.62	82.87	83.1	75.96
38897_44700_SO2_NC1_F1_1_val_1	52.3	52.77	53.33	55.48	58.11	63.72	67.31	67.38	67.71	69.16	70.12	69.62	69.53	67.05	71.47	70.54	70.82	69.96	70.83	71.13	71.46	68.23	71.75	70.04	71.4	71.42	69.79	69.69	70.45	69.89	71.34	69.27	69.49	71.42	72.35	69.57	69.51	69.96	71.61	70.83	68.37	70.89	72.75	70.29	71.0	70.9	68.77	69.85	69.09	69.66	71.69	68.08	70.59	68.14	67.51	69.51	69.95	69.91	70.28	69.59	68.47	69.23	69.15	70.89	67.96	68.52	70.28	68.85	69.76	71.37	72.76	69.15	69.99	69.03	69.38	70.31	70.5	69.78	67.92	68.51	68.26	67.22	67.74	68.02	68.69	68.63	70.13	70.02	70.15	68.34	68.03	67.76	66.47	66.67	68.96	70.24	69.39	71.56	70.01	70.68	69.8	70.46	69.33	70.63	69.72	71.16	68.97	71.1	66.96	69.01	69.22	70.45	66.82	69.0	68.73	70.34	70.03	67.58	70.08	68.72	69.38	68.41	69.16	68.21	70.28	69.54	66.39	69.42	71.21	68.95
38897_44700_SO3_NC1_G1_1_val_1	71.05	73.12	75.98	78.75	79.41	86.01	86.29	87.06	85.88	87.01	86.13	86.26	86.95	87.58	87.61	86.83	86.59	88.5	86.68	85.1	87.57	87.79	88.14	88.4	86.76	86.47	87.35	86.07	87.32	87.32	87.42	86.29	88.21	88.24	87.8	87.52	87.76	86.79	88.5	87.83	87.43	87.28	86.2	86.88	87.83	87.3	87.53	86.45	88.58	87.51	88.1	86.37	87.15	87.43	86.92	86.79	87.65	87.13	87.8	87.8	88.94	88.46	87.69	88.06	86.62	87.67	87.17	87.12	87.85	87.36	87.36	87.64	87.21	87.14	89.56	88.07	89.2	86.72	88.27	87.59	87.41	87.61	86.97	88.3	87.79	87.59	88.26	88.66	87.59	88.57	89.19	88.09	87.15	86.45	87.35	88.75	88.93	88.91	87.38	87.79	88.93	87.45	88.45	88.37	87.76	87.66	87.4	87.84	87.91	88.39	87.24	88.07	88.51	88.44	87.44	88.37	87.93	86.97	86.42	88.51	88.73	88.76	88.24	88.15	88.43	89.33	87.6	87.63	89.32	88.24
38897_44700_SO4_NC1_H1_1_val_1	47.95	47.04	48.43	51.25	53.72	60.58	64.7	62.18	60.19	63.77	64.9	65.93	66.05	65.58	64.47	64.94	65.16	64.78	64.42	63.09	67.51	63.98	65.03	63.88	64.57	64.57	66.46	66.37	63.55	63.57	66.18	64.05	66.38	67.65	66.05	65.32	61.89	63.7	67.66	65.35	66.84	65.89	64.95	63.08	64.03	63.46	63.72	62.56	61.41	63.29	63.94	64.13	64.28	64.13	64.02	64.88	63.34	64.45	63.94	63.43	63.76	63.92	62.0	63.73	63.31	64.64	63.56	64.34	64.4	62.61	63.82	64.43	65.84	65.08	63.22	62.57	64.68	63.01	64.39	65.61	63.42	64.7	63.23	65.83	62.86	65.56	63.99	62.55	63.79	65.46	61.54	62.4	61.0	62.32	62.16	62.87	64.25	63.45	61.05	62.68	62.41	64.37	66.11	63.64	62.23	63.86	64.1	61.68	64.21	61.26	61.68	62.26	63.74	63.55	64.06	61.99	63.69	63.15	64.28	65.35	64.04	62.68	60.49	64.18	65.38	64.39	63.75	64.51	64.63	62.71
39053_45005_PO1_NC2_I1_1_val_1	71.24	74.47	78.24	82.84	82.84	85.2	87.65	89.23	88.5	88.57	90.73	89.72	89.51	89.48	90.16	90.34	90.96	91.39	91.86	91.68	92.26	91.94	90.9	91.41	90.53	91.8	91.86	91.12	90.25	90.57	90.94	90.95	91.15	91.46	90.54	91.05	90.49	90.59	91.78	91.27	90.87	90.71	90.8	90.67	90.46	91.2	91.15	92.37	91.71	90.13	90.93	90.52	90.73	90.82	90.83	90.97	91.03	91.35	91.17	89.6	90.15	91.61	91.38	91.19	90.83	92.33	91.5	90.04	90.91	90.93	91.63	90.85	91.16	91.91	92.05	91.63	90.87	91.19	91.36	91.64	92.04	91.77	92.37	92.3	91.36	92.31	91.74	92.51	91.7	90.78	91.37	91.16	91.86	91.9	91.43	91.25	91.32	91.07	90.99	91.84	91.92	90.96	90.0	90.5	91.21	91.83	91.56	92.21	91.26	91.57	90.46	91.51	92.09	92.24	92.35	92.2	91.89	91.69	91.05	91.53	92.5	91.85	92.56	90.97	91.87	92.51	92.78	92.31	91.68	92.44
39053_45005_SO1_NC1_J1_1_val_1	76.72	77.97	82.0	85.72	83.55	88.77	91.26	95.13	94.44	93.83	94.18	94.21	94.23	94.43	93.83	94.71	94.91	94.97	94.0	95.04	95.73	96.15	94.73	95.43	94.62	95.14	94.55	93.85	95.62	95.4	94.62	95.38	94.95	94.75	94.85	95.26	95.37	95.99	94.94	94.37	94.19	94.92	94.96	95.11	94.86	95.59	95.51	95.68	95.3	95.94	95.52	95.13	94.76	96.73	94.84	94.89	95.85	95.66	94.82	94.74	95.12	94.76	95.92	95.75	95.53	95.61	94.78	95.89	95.49	95.4	95.31	95.64	95.23	95.52	95.33	95.39	95.24	95.65	94.91	94.93	95.76	95.9	96.03	96.23	95.06	95.54	95.42	94.78	95.22	96.0	94.76	94.19	96.01	95.43	95.3	94.57	95.08	95.71	95.09	94.4	95.05	95.09	95.72	95.25	95.54	95.69	95.6	96.23	95.18	95.96	94.27	95.6	95.82	95.14	95.46	96.19	95.86	95.49	94.57	95.16	95.24	95.21	94.71	94.51	95.51	95.74	95.6	95.24	95.31	95.19
