Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130
38897_44643_SO1_NC1_A1_1_val_1	100.0	62.5	83.33	90.0	90.0	85.71	94.59	88.46	93.94	85.71	97.44	90.91	88.89	95.24	88.57	88.24	80.0	88.24	92.31	87.8	95.0	97.5	98.04	97.67	85.29	97.62	94.87	93.75	97.22	88.89	100.0	85.42	95.24	92.59	94.29	91.53	95.92	94.44	86.49	95.56	95.65	97.14	83.64	94.44	100.0	87.1	97.56	97.14	97.14	89.29	94.59	96.15	88.68	85.71	94.12	95.24	96.88	90.91	91.18	88.57	92.11	96.97	82.14	97.14	96.43	92.11	89.19	89.29	97.22	92.31	94.74	94.87	94.87	91.18	86.21	90.62	89.13	95.12	93.75	90.48	97.44	96.77	96.88	84.78	100.0	93.33	97.37	97.67	97.73	96.43	89.47	97.06	79.41	96.15	100.0	95.24	96.88	87.18	95.83	88.57	96.15	96.15	91.67	90.91	100.0	96.15	93.33	78.26	85.0	93.33	86.36	100.0	95.24	89.29	100.0	92.11	93.94	90.0	96.55	96.3	96.67	100.0	92.0	91.3	93.55	82.61	95.0	93.1	100.0	88.89
38897_44643_SO2_NC1_B1_1_val_1	61.54	80.0	68.75	82.76	70.0	100.0	83.12	75.51	85.71	79.03	72.73	78.18	76.81	78.79	81.13	83.87	79.63	79.69	79.63	83.78	79.37	85.29	87.93	84.48	76.36	77.78	81.69	82.14	77.94	86.21	94.55	82.81	85.37	81.82	87.1	88.52	86.11	88.57	75.51	82.35	81.16	79.73	86.67	87.84	90.38	82.67	86.59	91.07	79.25	85.71	75.0	91.8	87.1	90.0	84.38	71.93	77.42	80.39	80.0	86.89	86.15	88.89	81.03	81.03	75.44	73.85	86.44	85.42	75.41	76.27	84.42	81.08	84.62	87.3	77.61	71.43	79.69	89.47	83.1	78.43	90.48	88.46	87.5	84.72	84.29	84.48	90.38	79.63	81.54	83.33	90.14	91.18	93.55	91.67	87.5	92.0	83.02	88.73	81.67	85.29	78.0	91.67	88.24	87.5	83.02	84.38	80.0	81.03	81.13	76.36	84.44	77.59	75.38	82.43	80.0	84.91	82.89	79.03	84.0	83.93	80.95	88.41	84.21	87.76	83.33	90.38	83.61	92.06	86.0	84.21
38897_44643_SO3_NC1_C2_1_val_1	78.79	48.28	80.56	77.59	79.37	82.0	80.29	84.81	75.46	75.5	87.32	81.97	84.83	80.9	81.76	76.06	77.62	77.65	76.02	77.58	83.96	82.2	81.48	85.29	77.67	87.21	83.62	79.9	80.18	82.56	78.12	71.48	77.11	82.48	78.41	82.35	81.11	85.78	80.09	80.73	84.69	72.59	77.73	84.11	81.36	83.25	79.56	81.46	82.18	81.12	79.02	82.79	79.78	82.71	84.33	79.89	81.37	80.79	76.96	90.86	77.17	87.25	78.21	84.16	79.89	79.31	82.39	77.3	80.1	75.85	68.03	78.67	80.37	83.33	82.49	84.75	81.13	81.25	81.92	82.45	82.26	78.17	63.64	78.32	80.95	78.39	77.44	85.41	84.82	82.11	75.47	85.13	80.2	80.9	82.22	75.14	78.66	83.76	79.37	80.12	87.08	83.16	82.42	83.93	82.95	81.61	81.28	80.0	87.1	77.27	84.66	85.1	87.36	83.33	80.53	83.33	81.37	79.06	82.47	88.57	86.34	87.39	81.98	79.29	81.22	80.0	78.79	80.12	78.47	67.57
38897_44700_PO1_NC5_D1_1_val_1	70.94	74.58	87.61	81.21	90.66	93.06	91.9	95.28	94.5	91.24	97.03	95.27	94.52	94.06	94.4	96.2	93.76	96.01	94.75	93.05	93.42	93.57	93.71	94.64	92.57	94.37	94.53	91.35	95.58	95.43	95.13	94.54	95.37	93.5	91.06	94.29	92.96	95.45	94.84	93.33	92.81	96.19	94.7	93.72	96.07	94.48	95.54	93.32	93.76	93.39	95.82	93.96	93.09	95.28	95.11	95.35	95.87	94.82	93.64	93.01	91.51	94.27	94.37	92.17	95.52	92.23	95.7	92.83	93.76	92.16	94.13	94.97	96.62	96.15	94.85	94.55	93.51	95.76	94.13	94.36	93.64	95.31	95.43	95.14	95.47	95.84	94.89	95.1	94.48	93.16	94.85	93.92	93.64	95.2	95.25	93.75	93.7	94.89	96.02	95.2	93.88	94.46	94.82	95.95	96.06	92.7	94.65	96.0	95.41	94.35	93.84	93.54	97.67	93.36	97.24	94.65	95.46	92.04	94.21	91.69	95.39	93.53	95.04	95.69	93.05	95.15	93.87	93.99	96.5	97.22
38897_44700_SO1_NC1_E1_1_val_1	75.0	80.0	75.0	85.0	89.29	83.33	88.12	87.5	92.73	97.62	93.67	91.8	96.83	94.55	94.34	96.83	93.15	95.0	93.44	94.44	100.0	95.65	95.24	96.88	93.22	95.52	97.14	93.75	90.62	95.52	91.76	96.51	98.7	96.25	93.67	95.16	94.67	94.9	95.77	96.1	94.03	93.06	95.71	92.75	98.18	93.51	97.67	96.39	94.37	98.41	98.39	96.05	93.65	96.91	95.45	96.92	95.65	92.75	98.11	96.72	94.23	98.65	91.03	96.55	90.91	96.92	96.67	100.0	92.42	91.07	93.33	98.15	89.66	97.59	98.31	91.67	96.97	95.77	96.97	92.73	100.0	96.92	93.55	96.83	98.44	93.22	92.75	100.0	96.77	97.75	97.59	94.92	96.77	96.72	96.97	92.54	100.0	97.06	92.31	95.31	92.86	97.01	92.42	92.73	90.48	96.0	96.43	93.88	98.48	100.0	100.0	98.18	96.3	98.28	92.86	100.0	97.83	94.92	90.0	96.08	96.0	92.45	100.0	97.1	93.44	98.46	93.02	100.0	97.62	88.89
38897_44700_SO2_NC1_F1_1_val_1	82.61	66.67	75.86	86.36	85.29	90.62	92.09	92.68	88.17	89.66	95.79	90.62	93.41	88.31	91.67	95.9	89.66	87.5	89.42	91.0	94.74	90.91	94.17	93.33	93.18	90.38	93.33	94.06	95.7	89.09	93.33	89.52	95.96	90.91	90.38	88.89	93.97	94.83	85.86	94.74	91.67	92.71	90.91	94.34	90.79	93.5	92.86	93.94	93.33	89.29	93.48	92.93	90.22	97.85	98.04	94.29	87.31	94.9	95.0	92.11	91.49	91.67	93.64	87.18	93.33	89.25	90.11	82.14	85.88	94.23	90.52	90.43	91.67	91.84	93.91	90.1	90.38	87.5	96.4	93.41	90.43	94.53	93.64	92.44	89.47	92.77	88.66	94.04	90.09	91.41	94.64	96.15	91.35	86.46	92.71	93.98	92.0	89.61	88.5	90.11	87.37	85.37	91.67	95.12	95.15	93.33	91.01	89.74	91.3	91.4	92.63	89.22	90.72	91.95	93.33	85.11	87.5	85.19	95.92	84.16	92.31	93.58	91.09	93.98	89.42	91.67	91.46	91.76	96.39	91.07
38897_44700_SO3_NC1_G1_1_val_1	76.0	75.76	92.5	86.49	94.44	90.62	91.18	93.86	94.12	93.58	97.22	97.44	95.58	98.53	99.03	95.45	92.0	95.24	91.6	92.47	96.05	96.72	94.35	93.7	94.64	95.83	95.35	95.95	94.38	95.83	97.55	96.08	96.03	95.12	95.56	96.06	95.31	94.3	95.14	97.2	94.87	96.75	97.48	96.26	99.22	96.18	94.74	95.97	96.75	95.04	96.09	97.12	95.56	97.24	98.47	95.14	95.08	94.96	96.03	97.89	95.35	93.33	94.35	95.83	94.12	95.93	93.91	97.66	94.64	96.06	97.24	96.06	96.06	96.18	96.83	95.61	96.4	96.34	97.33	94.4	95.68	96.27	96.12	97.66	96.85	98.1	96.95	96.55	93.64	94.83	94.66	97.1	97.73	98.74	95.0	97.01	96.45	96.18	97.5	98.41	98.23	98.99	97.06	94.05	96.58	95.9	97.64	96.03	97.69	95.41	96.35	98.17	93.33	98.06	95.42	97.56	94.0	93.64	96.43	94.02	95.83	95.97	95.2	95.58	96.15	97.89	96.97	95.92	97.03	100.0
38897_44700_SO4_NC1_H1_1_val_1	70.0	78.26	71.43	61.9	62.5	81.48	78.7	73.58	76.32	80.77	83.13	79.76	83.75	78.72	89.77	80.77	85.53	85.71	86.42	73.44	85.57	82.65	92.71	84.81	89.0	88.71	78.57	84.69	91.11	88.76	85.23	80.73	88.35	82.14	81.82	76.72	90.18	83.5	91.01	79.8	79.79	81.05	82.56	81.05	84.71	82.47	86.76	89.9	89.01	77.5	90.11	81.61	83.67	81.82	92.41	88.1	89.02	81.25	84.21	83.72	89.23	78.72	90.12	84.76	92.77	84.52	84.09	94.44	83.56	75.64	87.95	79.27	81.58	91.01	83.18	88.06	91.86	85.88	89.89	80.22	90.38	87.78	78.3	92.77	89.02	80.0	89.13	90.91	85.71	85.71	88.75	82.91	82.67	86.52	83.87	78.05	88.16	89.0	76.92	85.23	83.56	84.62	78.65	80.7	84.0	90.24	81.4	83.52	81.94	86.52	83.54	83.87	80.52	83.7	83.54	85.71	91.14	88.24	78.57	89.33	85.94	89.36	82.35	85.53	89.16	89.06	92.11	80.88	90.12	90.91
39053_45005_PO1_NC2_I1_1_val_1	77.27	79.07	80.36	89.66	77.27	90.48	85.16	85.0	93.71	91.0	94.82	97.52	93.4	93.03	94.92	97.17	95.12	94.27	93.15	94.67	95.96	92.17	96.15	93.69	91.54	94.09	94.87	95.94	97.31	96.45	93.23	96.3	93.65	94.49	96.85	91.88	95.7	96.67	95.26	94.05	96.47	96.38	95.2	95.6	94.83	95.92	96.57	97.57	93.8	98.26	97.94	97.74	97.57	96.99	97.36	97.13	96.03	96.67	98.88	94.68	95.49	94.5	96.6	92.91	94.55	94.29	94.48	96.65	97.67	95.59	94.44	91.56	93.51	95.96	88.84	95.6	94.74	93.39	95.13	93.8	94.25	94.39	96.72	95.21	98.02	96.8	96.26	98.62	96.64	97.08	96.17	94.74	94.05	96.43	95.16	92.93	93.71	95.21	95.57	95.52	94.12	98.2	94.92	93.0	95.83	93.85	95.77	96.51	93.85	95.24	95.06	92.92	95.09	97.35	97.74	93.59	91.95	94.19	95.45	97.52	96.09	97.13	97.3	93.89	96.85	96.3	93.36	94.74	92.67	96.19
39053_45005_SO1_NC1_J1_1_val_1	74.29	84.62	72.73	85.19	80.0	97.78	87.71	86.03	91.67	88.6	91.82	91.91	95.43	96.18	97.16	97.99	97.31	97.5	97.3	96.55	95.02	95.5	96.99	97.98	97.06	97.53	96.65	94.74	97.79	97.74	95.75	97.16	95.8	94.18	95.41	94.77	96.92	95.92	95.76	94.3	98.17	97.57	96.3	96.92	98.4	97.91	95.48	97.28	92.49	93.13	94.83	96.22	97.78	97.75	97.25	99.11	99.21	99.12	97.58	94.88	94.78	97.77	99.08	95.47	93.69	95.33	95.09	97.37	97.26	95.69	97.99	94.3	93.86	91.0	90.54	94.03	95.5	97.24	96.03	97.21	94.76	95.4	98.5	97.45	95.56	95.58	98.83	97.86	97.48	95.67	97.65	96.33	95.0	97.62	94.65	96.23	90.61	93.4	95.13	95.05	95.79	90.32	97.7	96.52	94.14	96.57	96.81	94.9	95.93	95.15	96.36	94.44	90.15	97.27	95.79	94.09	95.48	93.46	92.86	95.04	97.33	97.1	94.9	93.1	98.91	94.94	90.62	94.61	95.0	96.85
