Sample	Original bottom strand	Original top strand
38897_44643_SO1_NC1_A1_1_val_1	1291.0	2044.0
38897_44643_SO2_NC1_B1_1_val_1	2119.0	3049.0
38897_44643_SO3_NC1_C2_1_val_1	7085.0	9727.0
38897_44700_PO1_NC5_D1_1_val_1	8203.0	20806.0
38897_44700_SO1_NC1_E1_1_val_1	1286.0	3013.0
38897_44700_SO2_NC1_F1_1_val_1	2073.0	4490.0
38897_44700_SO3_NC1_G1_1_val_1	2455.0	5964.0
38897_44700_SO4_NC1_H1_1_val_1	2827.0	4386.0
39053_45005_PO1_NC2_I1_1_val_1	9659.0	4461.0
39053_45005_SO1_NC1_J1_1_val_1	7964.0	3713.0
39053_45005_SO2_NC1_K1_1_val_1	7411.0	3739.0
41237_44641_PO1_NC4_N2_1_val_1	20804.0	31919.0
41237_44641_SO1_NC1_K2_1_val_1	6176.0	8978.0
41237_44641_SO2_NC1_L2_1_val_1	7149.0	12502.0
41237_44641_SO3_NC1_M2_1_val_1	3595.0	5857.0
41299_44636_SOe_NC1_L1_1_val_1	1696.0	3384.0
41299_44963_PO1_NC3_N1_1_val_1	1367.0	2953.0
41299_44963_PO2_NC4_M1_1_val_1	1177.0	3829.0
41299_44963_PO3_NC3_O1_1_val_1	5172.0	20560.0
41299_44963_SO1_NC1_P1_1_val_1	1331.0	1692.0
41299_44963_SO2_NC1_A2_1_val_1	1388.0	4047.0
41299_44963_SO3_NC1_B2_1_val_1	1069.0	3374.0
41299_45019_EO1_NC8_C1_1_val_1	197.0	290.0
41299_45019_EO2_NC8_D2_1_val_1	17425.0	18887.0
41299_45019_EO3_NC8_E2_1_val_1	23326.0	24500.0
41299_45019_EO4_NC8_F2_1_val_1	18156.0	23735.0
41299_45019_EO5_NC8_G2_1_val_1	9960.0	14090.0
41299_45019_EO6_NC8_H2_1_val_1	6099.0	11550.0
41299_45019_EO7_NC8_I2_1_val_1	217.0	227.0
41299_45019_EO8_NC8_J2_1_val_1	8236.0	14187.0
41391_44650_PO1_NC4_F3_1_val_1	16644.0	11005.0
41391_44650_PO2_NC4_G3_1_val_1	16589.0	12329.0
41391_44650_PO3_NC3_E3_1_val_1	35643.0	26562.0
41391_44650_SO1_NC1_B3_1_val_1	404.0	592.0
41391_44650_SO2_NC1_C4_1_val_1	8802.0	6943.0
41391_44650_SO3_NC1_D3_1_val_1	4873.0	3672.0
41391_44923_PO1_NC3_H3_1_val_1	29053.0	26522.0
41391_44923_PO2_NC3_I3_1_val_1	20656.0	16178.0
41391_44923_PO3_NC5_J3_1_val_1	33954.0	15156.0
41391_44923_PO4_NC4_K3_1_val_1	13186.0	6987.0
41391_44923_SO1_NC1_O2_1_val_1	4738.0	2656.0
