Sample	Original top strand	Complementary to original top strand	Complementary to original bottom strand	Original bottom strand
38897_44643_SO1_NC1_A1_1_val_1_screen	156.0	25323.0	25150.0	157.0
38897_44643_SO1_NC1_A1_2_val_2_screen	25781.0	318.0	290.0	25790.0
38897_44643_SO2_NC1_B1_1_val_1_screen	277.0	26754.0	26812.0	245.0
38897_44643_SO2_NC1_B1_2_val_2_screen	27340.0	342.0	367.0	27560.0
38897_44643_SO3_NC1_C2_1_val_1_screen	204.0	26856.0	26756.0	190.0
38897_44643_SO3_NC1_C2_2_val_2_screen	27474.0	315.0	333.0	27585.0
38897_44700_PO1_NC5_D1_1_val_1_screen	396.0	24781.0	24740.0	374.0
38897_44700_PO1_NC5_D1_2_val_2_screen	25642.0	591.0	623.0	25657.0
38897_44700_SO1_NC1_E1_1_val_1_screen	174.0	25292.0	25098.0	206.0
38897_44700_SO1_NC1_E1_2_val_2_screen	25990.0	367.0	312.0	26097.0
38897_44700_SO2_NC1_F1_1_val_1_screen	352.0	25615.0	25298.0	346.0
38897_44700_SO2_NC1_F1_2_val_2_screen	26518.0	554.0	561.0	26144.0
38897_44700_SO3_NC1_G1_1_val_1_screen	255.0	25719.0	25537.0	227.0
38897_44700_SO3_NC1_G1_2_val_2_screen	26118.0	508.0	481.0	26070.0
38897_44700_SO4_NC1_H1_1_val_1_screen	346.0	24937.0	24908.0	352.0
38897_44700_SO4_NC1_H1_2_val_2_screen	25438.0	716.0	711.0	25232.0
39053_45005_PO1_NC2_I1_1_val_1_screen	591.0	22989.0	22967.0	538.0
39053_45005_PO1_NC2_I1_2_val_2_screen	23910.0	807.0	745.0	23585.0
39053_45005_SO1_NC1_J1_1_val_1_screen	1314.0	17420.0	17039.0	1265.0
39053_45005_SO1_NC1_J1_2_val_2_screen	18079.0	1696.0	1599.0	17600.0
39053_45005_SO2_NC1_K1_1_val_1_screen	619.0	21448.0	21112.0	547.0
39053_45005_SO2_NC1_K1_2_val_2_screen	22162.0	805.0	738.0	22111.0
41237_44641_PO1_NC4_N2_1_val_1_screen	145.0	26563.0	26439.0	166.0
41237_44641_PO1_NC4_N2_2_val_2_screen	27197.0	266.0	296.0	27161.0
