Sample	Original top strand	Complementary to original top strand	Complementary to original bottom strand	Original bottom strand
38897_44643_SO1_NC1_A1_1_val_1_screen	146.0	373.0	337.0	136.0
38897_44643_SO1_NC1_A1_2_val_2_screen	471.0	278.0	291.0	422.0
38897_44643_SO2_NC1_B1_1_val_1_screen	70.0	369.0	342.0	79.0
38897_44643_SO2_NC1_B1_2_val_2_screen	448.0	140.0	131.0	416.0
38897_44643_SO3_NC1_C2_1_val_1_screen	68.0	376.0	343.0	84.0
38897_44643_SO3_NC1_C2_2_val_2_screen	415.0	135.0	140.0	377.0
38897_44700_PO1_NC5_D1_1_val_1_screen	93.0	434.0	344.0	79.0
38897_44700_PO1_NC5_D1_2_val_2_screen	486.0	176.0	157.0	401.0
38897_44700_SO1_NC1_E1_1_val_1_screen	116.0	329.0	315.0	106.0
38897_44700_SO1_NC1_E1_2_val_2_screen	406.0	242.0	220.0	437.0
38897_44700_SO2_NC1_F1_1_val_1_screen	89.0	481.0	334.0	74.0
38897_44700_SO2_NC1_F1_2_val_2_screen	517.0	170.0	168.0	462.0
38897_44700_SO3_NC1_G1_1_val_1_screen	104.0	389.0	351.0	104.0
38897_44700_SO3_NC1_G1_2_val_2_screen	459.0	183.0	181.0	460.0
38897_44700_SO4_NC1_H1_1_val_1_screen	102.0	386.0	346.0	76.0
38897_44700_SO4_NC1_H1_2_val_2_screen	433.0	186.0	195.0	423.0
39053_45005_PO1_NC2_I1_1_val_1_screen	119.0	480.0	324.0	94.0
39053_45005_PO1_NC2_I1_2_val_2_screen	493.0	219.0	243.0	451.0
39053_45005_SO1_NC1_J1_1_val_1_screen	147.0	681.0	402.0	117.0
39053_45005_SO1_NC1_J1_2_val_2_screen	700.0	285.0	206.0	612.0
39053_45005_SO2_NC1_K1_1_val_1_screen	126.0	554.0	384.0	136.0
39053_45005_SO2_NC1_K1_2_val_2_screen	672.0	237.0	216.0	544.0
41237_44641_PO1_NC4_N2_1_val_1_screen	109.0	338.0	326.0	112.0
41237_44641_PO1_NC4_N2_2_val_2_screen	404.0	200.0	201.0	417.0
41237_44641_SO1_NC1_K2_1_val_1_screen	99.0	358.0	334.0	100.0
41237_44641_SO1_NC1_K2_2_val_2_screen	384.0	179.0	178.0	407.0
41237_44641_SO2_NC1_L2_1_val_1_screen	80.0	385.0	316.0	73.0
41237_44641_SO2_NC1_L2_2_val_2_screen	455.0	163.0	175.0	424.0
41237_44641_SO3_NC1_M2_1_val_1_screen	130.0	335.0	353.0	134.0
41237_44641_SO3_NC1_M2_2_val_2_screen	435.0	233.0	262.0	434.0
41299_44636_SOe_NC1_L1_1_val_1_screen	117.0	450.0	379.0	118.0
41299_44636_SOe_NC1_L1_2_val_2_screen	469.0	198.0	232.0	463.0
41299_44963_PO1_NC3_N1_1_val_1_screen	170.0	591.0	405.0	173.0
41299_44963_PO1_NC3_N1_2_val_2_screen	641.0	324.0	334.0	611.0
41299_44963_PO2_NC4_M1_1_val_1_screen	191.0	511.0	427.0	211.0
