Sample	Original top strand	Complementary to original top strand	Complementary to original bottom strand	Original bottom strand
38897_44643_SO1_NC1_A1_1_val_1_screen	145.0	902.0	954.0	124.0
38897_44643_SO1_NC1_A1_2_val_2_screen	1039.0	286.0	281.0	1065.0
38897_44643_SO2_NC1_B1_1_val_1_screen	72.0	937.0	1020.0	72.0
38897_44643_SO2_NC1_B1_2_val_2_screen	1010.0	150.0	136.0	1145.0
38897_44643_SO3_NC1_C2_1_val_1_screen	71.0	855.0	984.0	66.0
38897_44643_SO3_NC1_C2_2_val_2_screen	1013.0	131.0	135.0	1211.0
38897_44700_PO1_NC5_D1_1_val_1_screen	87.0	886.0	914.0	81.0
38897_44700_PO1_NC5_D1_2_val_2_screen	1009.0	191.0	144.0	1113.0
38897_44700_SO1_NC1_E1_1_val_1_screen	113.0	781.0	947.0	111.0
38897_44700_SO1_NC1_E1_2_val_2_screen	955.0	197.0	209.0	1164.0
38897_44700_SO2_NC1_F1_1_val_1_screen	87.0	899.0	943.0	74.0
38897_44700_SO2_NC1_F1_2_val_2_screen	1047.0	193.0	155.0	1178.0
38897_44700_SO3_NC1_G1_1_val_1_screen	75.0	886.0	938.0	100.0
38897_44700_SO3_NC1_G1_2_val_2_screen	974.0	178.0	173.0	1123.0
38897_44700_SO4_NC1_H1_1_val_1_screen	113.0	897.0	974.0	99.0
38897_44700_SO4_NC1_H1_2_val_2_screen	1036.0	204.0	189.0	1074.0
39053_45005_PO1_NC2_I1_1_val_1_screen	102.0	940.0	884.0	102.0
39053_45005_PO1_NC2_I1_2_val_2_screen	1013.0	235.0	207.0	1039.0
39053_45005_SO1_NC1_J1_1_val_1_screen	146.0	994.0	790.0	114.0
39053_45005_SO1_NC1_J1_2_val_2_screen	1115.0	281.0	217.0	1007.0
39053_45005_SO2_NC1_K1_1_val_1_screen	146.0	944.0	871.0	114.0
39053_45005_SO2_NC1_K1_2_val_2_screen	1148.0	252.0	221.0	1080.0
41237_44641_PO1_NC4_N2_1_val_1_screen	103.0	853.0	1021.0	85.0
41237_44641_PO1_NC4_N2_2_val_2_screen	1001.0	200.0	183.0	1133.0
41237_44641_SO1_NC1_K2_1_val_1_screen	104.0	810.0	958.0	80.0
41237_44641_SO1_NC1_K2_2_val_2_screen	963.0	177.0	168.0	1114.0
41237_44641_SO2_NC1_L2_1_val_1_screen	95.0	861.0	936.0	60.0
41237_44641_SO2_NC1_L2_2_val_2_screen	1053.0	178.0	141.0	1149.0
41237_44641_SO3_NC1_M2_1_val_1_screen	121.0	809.0	873.0	110.0
41237_44641_SO3_NC1_M2_2_val_2_screen	970.0	227.0	247.0	1132.0
41299_44636_SOe_NC1_L1_1_val_1_screen	126.0	945.0	998.0	101.0
41299_44636_SOe_NC1_L1_2_val_2_screen	1028.0	208.0	264.0	1185.0
41299_44963_PO1_NC3_N1_1_val_1_screen	164.0	856.0	763.0	163.0
41299_44963_PO1_NC3_N1_2_val_2_screen	1042.0	328.0	295.0	1035.0
41299_44963_PO2_NC4_M1_1_val_1_screen	191.0	936.0	1018.0	200.0
41299_44963_PO2_NC4_M1_2_val_2_screen	1193.0	320.0	325.0	1279.0
41299_44963_PO3_NC3_O1_1_val_1_screen	135.0	1039.0	852.0	103.0
41299_44963_PO3_NC3_O1_2_val_2_screen	1123.0	324.0	214.0	986.0
41299_44963_SO1_NC1_P1_1_val_1_screen	90.0	783.0	914.0	94.0
41299_44963_SO1_NC1_P1_2_val_2_screen	915.0	191.0	201.0	1111.0
41299_44963_SO2_NC1_A2_1_val_1_screen	101.0	921.0	1025.0	78.0
41299_44963_SO2_NC1_A2_2_val_2_screen	1018.0	199.0	139.0	1154.0
41299_44963_SO3_NC1_B2_1_val_1_screen	99.0	908.0	888.0	64.0
41299_44963_SO3_NC1_B2_2_val_2_screen	1110.0	179.0	125.0	1087.0
41299_45019_EO1_NC8_C1_1_val_1_screen	145.0	837.0	899.0	186.0
41299_45019_EO1_NC8_C1_2_val_2_screen	1469.0	266.0	260.0	1382.0
41299_45019_EO2_NC8_D2_1_val_1_screen	72.0	790.0	1007.0	80.0
41299_45019_EO2_NC8_D2_2_val_2_screen	1000.0	98.0	134.0	1217.0
41299_45019_EO3_NC8_E2_1_val_1_screen	85.0	1027.0	1134.0	86.0
41299_45019_EO3_NC8_E2_2_val_2_screen	1079.0	144.0	147.0	1266.0
41299_45019_EO4_NC8_F2_1_val_1_screen	139.0	917.0	1075.0	102.0
41299_45019_EO4_NC8_F2_2_val_2_screen	975.0	227.0	221.0	1247.0
41299_45019_EO5_NC8_G2_1_val_1_screen	88.0	903.0	1046.0	100.0
41299_45019_EO5_NC8_G2_2_val_2_screen	1019.0	187.0	189.0	1220.0
41299_45019_EO6_NC8_H2_1_val_1_screen	117.0	915.0	844.0	111.0
41299_45019_EO6_NC8_H2_2_val_2_screen	1061.0	182.0	180.0	1057.0
41299_45019_EO7_NC8_I2_1_val_1_screen	115.0	1063.0	1046.0	104.0
41299_45019_EO7_NC8_I2_2_val_2_screen	1181.0	182.0	181.0	1195.0
41299_45019_EO8_NC8_J2_1_val_1_screen	79.0	916.0	957.0	91.0
41299_45019_EO8_NC8_J2_2_val_2_screen	1018.0	164.0	152.0	1125.0
41391_44650_PO1_NC4_F3_1_val_1_screen	120.0	1014.0	1151.0	105.0
41391_44650_PO1_NC4_F3_2_val_2_screen	1087.0	215.0	241.0	1317.0
41391_44650_PO2_NC4_G3_1_val_1_screen	141.0	929.0	1044.0	146.0
41391_44650_PO2_NC4_G3_2_val_2_screen	1083.0	304.0	259.0	1316.0
41391_44650_PO3_NC3_E3_1_val_1_screen	115.0	862.0	982.0	109.0
41391_44650_PO3_NC3_E3_2_val_2_screen	1045.0	287.0	242.0	1237.0
41391_44650_SO1_NC1_B3_1_val_1_screen	156.0	970.0	984.0	167.0
41391_44650_SO1_NC1_B3_2_val_2_screen	1057.0	249.0	234.0	1158.0
41391_44650_SO2_NC1_C4_1_val_1_screen	144.0	916.0	1011.0	125.0
41391_44650_SO2_NC1_C4_2_val_2_screen	1077.0	275.0	248.0	1254.0
41391_44650_SO3_NC1_D3_1_val_1_screen	131.0	874.0	1078.0	148.0
41391_44650_SO3_NC1_D3_2_val_2_screen	1018.0	309.0	284.0	1233.0
41391_44923_PO1_NC3_H3_1_val_1_screen	121.0	977.0	1208.0	129.0
41391_44923_PO1_NC3_H3_2_val_2_screen	1108.0	271.0	278.0	1349.0
41391_44923_PO2_NC3_I3_1_val_1_screen	153.0	905.0	1101.0	156.0
41391_44923_PO2_NC3_I3_2_val_2_screen	1100.0	327.0	302.0	1226.0
41391_44923_PO3_NC5_J3_1_val_1_screen	177.0	985.0	928.0	148.0
41391_44923_PO3_NC5_J3_2_val_2_screen	1132.0	362.0	322.0	1113.0
41391_44923_PO4_NC4_K3_1_val_1_screen	214.0	897.0	904.0	182.0
41391_44923_PO4_NC4_K3_2_val_2_screen	1132.0	354.0	333.0	1166.0
41391_44923_SO1_NC1_O2_1_val_1_screen	86.0	1034.0	893.0	101.0
41391_44923_SO1_NC1_O2_2_val_2_screen	1220.0	207.0	169.0	1083.0
41391_44923_SO2_NC1_P2_1_val_1_screen	104.0	914.0	857.0	88.0
41391_44923_SO2_NC1_P2_2_val_2_screen	1131.0	183.0	169.0	1112.0
41391_44923_SO3_NC1_A3_1_val_1_screen	122.0	666.0	744.0	99.0
41391_44923_SO3_NC1_A3_2_val_2_screen	887.0	178.0	222.0	953.0
41460_44643_PO1_NC5_O3_1_val_1_screen	137.0	897.0	1024.0	141.0
41460_44643_PO1_NC5_O3_2_val_2_screen	1022.0	279.0	270.0	1248.0
41460_44643_PO2_NC5_P3_1_val_1_screen	182.0	970.0	1070.0	179.0
41460_44643_PO2_NC5_P3_2_val_2_screen	1088.0	403.0	359.0	1170.0
41460_44643_PO3_NC5_A4_1_val_1_screen	147.0	954.0	1089.0	112.0
41460_44643_PO3_NC5_A4_2_val_2_screen	1094.0	248.0	243.0	1266.0
41460_44643_SO1_NC1_L3_1_val_1_screen	221.0	845.0	1072.0	252.0
41460_44643_SO1_NC1_L3_2_val_2_screen	997.0	456.0	444.0	1175.0
41460_44643_SO2_NC1_M3_1_val_1_screen	260.0	922.0	1041.0	247.0
41460_44643_SO2_NC1_M3_2_val_2_screen	1097.0	434.0	466.0	1303.0
41460_44643_SO3_NC1_N3_1_val_1_screen	139.0	914.0	1024.0	150.0
41460_44643_SO3_NC1_N3_2_val_2_screen	1055.0	318.0	301.0	1189.0
41460_45001_PO1_NC5_E4_1_val_1_screen	168.0	852.0	976.0	166.0
41460_45001_PO1_NC5_E4_2_val_2_screen	1073.0	312.0	278.0	1217.0
41460_45001_PO2_NC3_F4_1_val_1_screen	178.0	1022.0	1053.0	154.0
41460_45001_PO2_NC3_F4_2_val_2_screen	1179.0	306.0	269.0	1286.0
41460_45001_PO3_NC4_G4_1_val_1_screen	194.0	896.0	1154.0	198.0
41460_45001_PO3_NC4_G4_2_val_2_screen	1024.0	360.0	323.0	1318.0
41460_45001_SO1_NC1_B4_1_val_1_screen	141.0	906.0	1055.0	139.0
41460_45001_SO1_NC1_B4_2_val_2_screen	1099.0	270.0	276.0	1233.0
41460_45001_SO2_NC1_C3_1_val_1_screen	152.0	880.0	988.0	177.0
41460_45001_SO2_NC1_C3_2_val_2_screen	1115.0	288.0	283.0	1368.0
41460_45001_SO3_NC1_D4_1_val_1_screen	129.0	918.0	1065.0	113.0
41460_45001_SO3_NC1_D4_2_val_2_screen	1137.0	254.0	231.0	1388.0
42111_44957_PO1_NC3_K4_1_val_1_screen	207.0	1042.0	871.0	207.0
42111_44957_PO1_NC3_K4_2_val_2_screen	1142.0	476.0	420.0	1102.0
42111_44957_PO2_NC3_L4_1_val_1_screen	154.0	882.0	1027.0	169.0
42111_44957_PO2_NC3_L4_2_val_2_screen	1047.0	323.0	292.0	1188.0
42111_44957_SO1_NC1_H4_1_val_1_screen	168.0	999.0	1021.0	191.0
42111_44957_SO1_NC1_H4_2_val_2_screen	1110.0	362.0	342.0	1210.0
42111_44957_SO2_NC1_B5_1_val_1_screen	83.0	823.0	1052.0	93.0
42111_44957_SO2_NC1_B5_2_val_2_screen	1024.0	153.0	136.0	1317.0
42111_44957_SO3_NC1_J4_1_val_1_screen	169.0	983.0	1047.0	180.0
42111_44957_SO3_NC1_J4_2_val_2_screen	1118.0	408.0	328.0	1251.0
42111_45019_EOo_NC8_M4_1_val_1_screen	239.0	954.0	1139.0	245.0
42111_45019_EOo_NC8_M4_2_val_2_screen	1102.0	455.0	461.0	1267.0
42473_44998_PO1_NC2_I4_1_val_1_screen	256.0	1134.0	781.0	211.0
42473_44998_PO1_NC2_I4_2_val_2_screen	1302.0	505.0	351.0	967.0
42473_44998_SO1_NC1_P4_1_val_1_screen	464.0	1715.0	1694.0	447.0
42473_44998_SO1_NC1_P4_2_val_2_screen	2458.0	785.0	742.0	2315.0
42473_44998_SO2_NC1_A5_1_val_1_screen	132.0	858.0	913.0	98.0
42473_44998_SO2_NC1_A5_2_val_2_screen	1054.0	243.0	217.0	1147.0
42473_45061_EO1_NC8_O4_1_val_1_screen	197.0	925.0	908.0	202.0
42473_45061_EO1_NC8_O4_2_val_2_screen	1092.0	397.0	323.0	1094.0
42651_45042_PO1_NC3_E5_1_val_1_screen	84.0	831.0	988.0	97.0
42651_45042_PO1_NC3_E5_2_val_2_screen	1048.0	155.0	190.0	1234.0
42651_45042_PO2_NC4_N4_1_val_1_screen	250.0	882.0	1044.0	275.0
42651_45042_PO2_NC4_N4_2_val_2_screen	1040.0	367.0	441.0	1344.0
42651_45042_PO3_NC4_G5_1_val_1_screen	128.0	940.0	1116.0	162.0
42651_45042_PO3_NC4_G5_2_val_2_screen	1046.0	253.0	213.0	1256.0
42651_45042_SO1_NC1_C6_1_val_1_screen	128.0	844.0	921.0	100.0
42651_45042_SO1_NC1_C6_2_val_2_screen	1037.0	221.0	179.0	1167.0
42651_45042_SO2_NC1_D5_1_val_1_screen	115.0	1011.0	1065.0	79.0
42651_45042_SO2_NC1_D5_2_val_2_screen	1096.0	190.0	143.0	1210.0
42651_45042_SO3_NC1_F5_1_val_1_screen	100.0	799.0	962.0	101.0
42651_45042_SO3_NC1_F5_2_val_2_screen	972.0	163.0	143.0	1258.0
43028_44664_PO2_NC5_K5_1_val_1_screen	84.0	870.0	1148.0	114.0
43028_44664_PO2_NC5_K5_2_val_2_screen	1000.0	208.0	233.0	1227.0
43028_44664_SO1_NC1_H5_1_val_1_screen	127.0	906.0	1031.0	108.0
43028_44664_SO1_NC1_H5_2_val_2_screen	976.0	245.0	222.0	1232.0
43028_44664_SO2_NC1_I5_1_val_1_screen	119.0	927.0	1041.0	105.0
43028_44664_SO2_NC1_I5_2_val_2_screen	1073.0	201.0	195.0	1218.0
43028_44664_SO3_NC1_J5_1_val_1_screen	111.0	815.0	1031.0	103.0
43028_44664_SO3_NC1_J5_2_val_2_screen	939.0	205.0	192.0	1149.0
43051_44931_SO1_NC1_L5_1_val_1_screen	87.0	869.0	1099.0	97.0
43051_44931_SO1_NC1_L5_2_val_2_screen	991.0	187.0	178.0	1258.0
43051_45068_EO1_NC8_M5_1_val_1_screen	161.0	946.0	1015.0	147.0
43051_45068_EO1_NC8_M5_2_val_2_screen	1145.0	313.0	262.0	1211.0
43051_45068_EO2_NC8_N5_1_val_1_screen	31.0	16.0	18.0	37.0
43051_45068_EO2_NC8_N5_2_val_2_screen	56.0	29.0	25.0	66.0
43051_45068_EO3_NC8_O5_1_val_1_screen	133.0	844.0	877.0	128.0
43051_45068_EO3_NC8_O5_2_val_2_screen	1051.0	233.0	209.0	1104.0
44218_44676_PO1_NC4_M6_1_val_1_screen	178.0	795.0	872.0	137.0
44218_44676_PO1_NC4_M6_2_val_2_screen	1003.0	327.0	234.0	1041.0
44218_44676_SO1_NC1_J6_1_val_1_screen	116.0	859.0	969.0	120.0
44218_44676_SO1_NC1_J6_2_val_2_screen	1009.0	220.0	215.0	1225.0
44218_44676_SO2_NC1_K6_1_val_1_screen	123.0	837.0	928.0	99.0
44218_44676_SO2_NC1_K6_2_val_2_screen	998.0	237.0	210.0	1234.0
44218_44676_SO3_NC1_L6_1_val_1_screen	292.0	781.0	1020.0	243.0
44218_44676_SO3_NC1_L6_2_val_2_screen	965.0	408.0	400.0	1327.0
44564_44991_PO1_NC3_H6_1_val_1_screen	107.0	844.0	1023.0	128.0
44564_44991_PO1_NC3_H6_2_val_2_screen	1039.0	215.0	223.0	1240.0
44564_44991_SO1_NC1_E6_1_val_1_screen	83.0	855.0	910.0	74.0
44564_44991_SO1_NC1_E6_2_val_2_screen	1044.0	172.0	160.0	1192.0
44564_44991_SO2_NC1_F6_1_val_1_screen	111.0	960.0	948.0	82.0
44564_44991_SO2_NC1_F6_2_val_2_screen	1055.0	205.0	179.0	1171.0
44564_44991_SO3_NC1_G6_1_val_1_screen	140.0	860.0	820.0	137.0
44564_44991_SO3_NC1_G6_2_val_2_screen	938.0	276.0	270.0	974.0
44994_45005_PO1_NC3_B6_1_val_1_screen	87.0	902.0	1066.0	102.0
44994_45005_PO1_NC3_B6_2_val_2_screen	1053.0	205.0	174.0	1298.0
44994_45005_PO2_NC3_C5_1_val_1_screen	114.0	925.0	1163.0	88.0
44994_45005_PO2_NC3_C5_2_val_2_screen	1103.0	172.0	184.0	1330.0
44994_45005_SO1_NC1_P5_1_val_1_screen	156.0	845.0	997.0	156.0
44994_45005_SO1_NC1_P5_2_val_2_screen	1011.0	356.0	312.0	1204.0
44994_45005_SO2_NC1_A6_1_val_1_screen	125.0	965.0	1050.0	106.0
44994_45005_SO2_NC1_A6_2_val_2_screen	1053.0	256.0	212.0	1263.0
44994_45005_SO3_NC1_D6_1_val_1_screen	127.0	978.0	929.0	85.0
44994_45005_SO3_NC1_D6_2_val_2_screen	1106.0	233.0	170.0	1151.0
45208_44650_PO1_NC5_A7_1_val_1_screen	123.0	895.0	1147.0	132.0
45208_44650_PO1_NC5_A7_2_val_2_screen	1059.0	250.0	188.0	1362.0
45208_44650_PO2_NC3_B7_1_val_1_screen	113.0	855.0	1082.0	105.0
45208_44650_PO2_NC3_B7_2_val_2_screen	1056.0	206.0	168.0	1304.0
45208_44650_PO3_NC5_C8_1_val_1_screen	123.0	884.0	1009.0	114.0
45208_44650_PO3_NC5_C8_2_val_2_screen	1055.0	238.0	199.0	1231.0
45208_44650_SO1_NC1_N6_1_val_1_screen	109.0	836.0	1056.0	102.0
45208_44650_SO1_NC1_N6_2_val_2_screen	956.0	209.0	180.0	1235.0
45208_44650_SO2_NC1_O6_1_val_1_screen	110.0	796.0	892.0	123.0
45208_44650_SO2_NC1_O6_2_val_2_screen	977.0	213.0	206.0	1134.0
45208_44650_SO3_NC1_P6_1_val_1_screen	144.0	804.0	997.0	137.0
45208_44650_SO3_NC1_P6_2_val_2_screen	980.0	232.0	250.0	1201.0
45208_45054_BL1_NC16_I7_1_val_1_screen	189.0	965.0	973.0	154.0
45208_45054_BL1_NC16_I7_2_val_2_screen	1080.0	326.0	250.0	1138.0
45208_45054_BL2_NC16_J7_1_val_1_screen	117.0	924.0	1013.0	105.0
45208_45054_BL2_NC16_J7_2_val_2_screen	995.0	231.0	218.0	1203.0
45208_45054_BL3_NC16_K7_1_val_1_screen	141.0	802.0	999.0	127.0
45208_45054_BL3_NC16_K7_2_val_2_screen	968.0	249.0	276.0	1225.0
45208_45054_BL4_NC16_L7_1_val_1_screen	148.0	937.0	1072.0	129.0
45208_45054_BL4_NC16_L7_2_val_2_screen	991.0	215.0	253.0	1187.0
45208_45054_BL5_NC16_M7_1_val_1_screen	163.0	917.0	1080.0	182.0
45208_45054_BL5_NC16_M7_2_val_2_screen	1010.0	302.0	303.0	1257.0
45208_45054_BL6_NC16_N7_1_val_1_screen	163.0	872.0	972.0	152.0
45208_45054_BL6_NC16_N7_2_val_2_screen	1053.0	298.0	298.0	1152.0
45208_45054_EO1_NC8_D7_1_val_1_screen	137.0	877.0	981.0	115.0
45208_45054_EO1_NC8_D7_2_val_2_screen	1029.0	202.0	193.0	1235.0
45208_45054_EO2_NC8_E7_1_val_1_screen	152.0	952.0	864.0	96.0
45208_45054_EO2_NC8_E7_2_val_2_screen	1128.0	258.0	195.0	1069.0
45208_45054_EO3_NC8_F7_1_val_1_screen	92.0	889.0	1012.0	104.0
45208_45054_EO3_NC8_F7_2_val_2_screen	997.0	179.0	174.0	1232.0
45208_45054_EO4_NC8_G7_1_val_1_screen	138.0	1076.0	1140.0	116.0
45208_45054_EO4_NC8_G7_2_val_2_screen	1052.0	228.0	244.0	1223.0
45208_45054_EO5_NC8_H7_1_val_1_screen	186.0	848.0	1040.0	183.0
45208_45054_EO5_NC8_H7_2_val_2_screen	1023.0	318.0	313.0	1287.0
45669_44700_PO1_NC5_O8_1_val_1_screen	140.0	914.0	1026.0	152.0
45669_44700_PO1_NC5_O8_2_val_2_screen	1013.0	275.0	264.0	1231.0
45669_44700_PO2_NC5_P8_1_val_1_screen	163.0	981.0	1080.0	157.0
45669_44700_PO2_NC5_P8_2_val_2_screen	1066.0	287.0	335.0	1242.0
45669_44700_PO3_NC4_A9_1_val_1_screen	150.0	902.0	1061.0	155.0
45669_44700_PO3_NC4_A9_2_val_2_screen	1047.0	292.0	293.0	1268.0
45669_44700_SO1_NC1_L8_1_val_1_screen	125.0	964.0	954.0	122.0
