Sample	Original top strand	Complementary to original top strand	Complementary to original bottom strand	Original bottom strand
38897_44643_SO1_NC1_A1_1_val_1_screen	76.0	39280.0	39290.0	73.0
38897_44643_SO1_NC1_A1_2_val_2_screen	38902.0	149.0	143.0	38932.0
38897_44643_SO2_NC1_B1_1_val_1_screen	168.0	38903.0	39218.0	181.0
38897_44643_SO2_NC1_B1_2_val_2_screen	38962.0	259.0	280.0	38970.0
38897_44643_SO3_NC1_C2_1_val_1_screen	177.0	39341.0	39376.0	134.0
38897_44643_SO3_NC1_C2_2_val_2_screen	39173.0	307.0	245.0	39188.0
38897_44700_PO1_NC5_D1_1_val_1_screen	164.0	36622.0	36547.0	137.0
38897_44700_PO1_NC5_D1_2_val_2_screen	36179.0	333.0	304.0	36216.0
38897_44700_SO1_NC1_E1_1_val_1_screen	73.0	38522.0	38573.0	67.0
38897_44700_SO1_NC1_E1_2_val_2_screen	38143.0	182.0	158.0	38083.0
38897_44700_SO2_NC1_F1_1_val_1_screen	144.0	37891.0	37349.0	150.0
38897_44700_SO2_NC1_F1_2_val_2_screen	37572.0	323.0	298.0	37105.0
38897_44700_SO3_NC1_G1_1_val_1_screen	123.0	38425.0	38378.0	123.0
38897_44700_SO3_NC1_G1_2_val_2_screen	37969.0	191.0	207.0	37829.0
38897_44700_SO4_NC1_H1_1_val_1_screen	284.0	37540.0	37393.0	249.0
38897_44700_SO4_NC1_H1_2_val_2_screen	37106.0	388.0	383.0	36932.0
39053_45005_PO1_NC2_I1_1_val_1_screen	240.0	38453.0	35501.0	654.0
39053_45005_PO1_NC2_I1_2_val_2_screen	37897.0	397.0	812.0	35023.0
39053_45005_SO1_NC1_J1_1_val_1_screen	478.0	37373.0	28723.0	1531.0
39053_45005_SO1_NC1_J1_2_val_2_screen	36165.0	675.0	1896.0	27875.0
39053_45005_SO2_NC1_K1_1_val_1_screen	237.0	37322.0	34131.0	648.0
39053_45005_SO2_NC1_K1_2_val_2_screen	36572.0	385.0	843.0	33352.0
41237_44641_PO1_NC4_N2_1_val_1_screen	90.0	39843.0	40030.0	102.0
41237_44641_PO1_NC4_N2_2_val_2_screen	39555.0	204.0	216.0	39649.0
41237_44641_SO1_NC1_K2_1_val_1_screen	64.0	40498.0	40138.0	72.0
41237_44641_SO1_NC1_K2_2_val_2_screen	40367.0	150.0	166.0	40044.0
41237_44641_SO2_NC1_L2_1_val_1_screen	133.0	38945.0	39174.0	122.0
41237_44641_SO2_NC1_L2_2_val_2_screen	38533.0	197.0	210.0	38626.0
41237_44641_SO3_NC1_M2_1_val_1_screen	85.0	39412.0	39230.0	98.0
41237_44641_SO3_NC1_M2_2_val_2_screen	39016.0	197.0	210.0	38825.0
41299_44636_SOe_NC1_L1_1_val_1_screen	144.0	38130.0	38058.0	164.0
41299_44636_SOe_NC1_L1_2_val_2_screen	37607.0	227.0	273.0	37447.0
41299_44963_PO1_NC3_N1_1_val_1_screen	85.0	29221.0	29102.0	116.0
41299_44963_PO1_NC3_N1_2_val_2_screen	28896.0	171.0	199.0	28702.0
41299_44963_PO2_NC4_M1_1_val_1_screen	75.0	35709.0	35556.0	97.0
41299_44963_PO2_NC4_M1_2_val_2_screen	34995.0	157.0	190.0	34852.0
41299_44963_PO3_NC3_O1_1_val_1_screen	116.0	25880.0	25674.0	111.0
41299_44963_PO3_NC3_O1_2_val_2_screen	25613.0	177.0	169.0	25440.0
41299_44963_SO1_NC1_P1_1_val_1_screen	60.0	40970.0	40453.0	67.0
41299_44963_SO1_NC1_P1_2_val_2_screen	40831.0	151.0	160.0	40328.0
41299_44963_SO2_NC1_A2_1_val_1_screen	91.0	36026.0	35679.0	96.0
41299_44963_SO2_NC1_A2_2_val_2_screen	35628.0	213.0	195.0	35373.0
41299_44963_SO3_NC1_B2_1_val_1_screen	134.0	30900.0	30951.0	132.0
41299_44963_SO3_NC1_B2_2_val_2_screen	30712.0	161.0	199.0	30854.0
41299_45019_EO1_NC8_C1_1_val_1_screen	211.0	37565.0	36862.0	218.0
41299_45019_EO1_NC8_C1_2_val_2_screen	38167.0	323.0	320.0	37479.0
41299_45019_EO2_NC8_D2_1_val_1_screen	213.0	40557.0	40732.0	191.0
41299_45019_EO2_NC8_D2_2_val_2_screen	40516.0	312.0	327.0	40491.0
41299_45019_EO3_NC8_E2_1_val_1_screen	187.0	40806.0	41293.0	150.0
41299_45019_EO3_NC8_E2_2_val_2_screen	40858.0	250.0	248.0	41202.0
41299_45019_EO4_NC8_F2_1_val_1_screen	196.0	39777.0	39398.0	191.0
41299_45019_EO4_NC8_F2_2_val_2_screen	39668.0	318.0	341.0	39144.0
41299_45019_EO5_NC8_G2_1_val_1_screen	108.0	39993.0	40317.0	133.0
41299_45019_EO5_NC8_G2_2_val_2_screen	39661.0	247.0	282.0	40103.0
41299_45019_EO6_NC8_H2_1_val_1_screen	147.0	38241.0	38004.0	130.0
41299_45019_EO6_NC8_H2_2_val_2_screen	37885.0	222.0	238.0	37552.0
41299_45019_EO7_NC8_I2_1_val_1_screen	120.0	43279.0	43320.0	122.0
41299_45019_EO7_NC8_I2_2_val_2_screen	43303.0	241.0	248.0	43469.0
41299_45019_EO8_NC8_J2_1_val_1_screen	105.0	39347.0	39329.0	112.0
41299_45019_EO8_NC8_J2_2_val_2_screen	39018.0	194.0	189.0	39109.0
41391_44650_PO1_NC4_F3_1_val_1_screen	169.0	40017.0	39092.0	264.0
41391_44650_PO1_NC4_F3_2_val_2_screen	39415.0	307.0	411.0	38746.0
41391_44650_PO2_NC4_G3_1_val_1_screen	198.0	39748.0	39452.0	273.0
41391_44650_PO2_NC4_G3_2_val_2_screen	38946.0	388.0	437.0	38683.0
41391_44650_PO3_NC3_E3_1_val_1_screen	186.0	40118.0	39349.0	295.0
41391_44650_PO3_NC3_E3_2_val_2_screen	39645.0	364.0	488.0	38859.0
41391_44650_SO1_NC1_B3_1_val_1_screen	177.0	38536.0	38675.0	190.0
41391_44650_SO1_NC1_B3_2_val_2_screen	38179.0	263.0	293.0	38358.0
41391_44650_SO2_NC1_C4_1_val_1_screen	159.0	40131.0	39567.0	218.0
41391_44650_SO2_NC1_C4_2_val_2_screen	39637.0	319.0	358.0	38880.0
41391_44650_SO3_NC1_D3_1_val_1_screen	183.0	39911.0	39825.0	224.0
41391_44650_SO3_NC1_D3_2_val_2_screen	39557.0	355.0	382.0	39460.0
41391_44923_PO1_NC3_H3_1_val_1_screen	137.0	40026.0	39705.0	175.0
41391_44923_PO1_NC3_H3_2_val_2_screen	39765.0	285.0	311.0	39777.0
41391_44923_PO2_NC3_I3_1_val_1_screen	204.0	39716.0	39228.0	277.0
41391_44923_PO2_NC3_I3_2_val_2_screen	39039.0	338.0	421.0	38698.0
41391_44923_PO3_NC5_J3_1_val_1_screen	433.0	38278.0	33764.0	1144.0
41391_44923_PO3_NC5_J3_2_val_2_screen	37501.0	505.0	1381.0	33199.0
41391_44923_PO4_NC4_K3_1_val_1_screen	255.0	38328.0	36161.0	602.0
41391_44923_PO4_NC4_K3_2_val_2_screen	37491.0	436.0	796.0	35266.0
41391_44923_SO1_NC1_O2_1_val_1_screen	211.0	37029.0	33881.0	488.0
41391_44923_SO1_NC1_O2_2_val_2_screen	36494.0	333.0	648.0	32988.0
41391_44923_SO2_NC1_P2_1_val_1_screen	238.0	38232.0	34175.0	714.0
41391_44923_SO2_NC1_P2_2_val_2_screen	37495.0	361.0	927.0	33342.0
41391_44923_SO3_NC1_A3_1_val_1_screen	162.0	24360.0	24411.0	184.0
41391_44923_SO3_NC1_A3_2_val_2_screen	24220.0	277.0	279.0	24298.0
41460_44643_PO1_NC5_O3_1_val_1_screen	86.0	38300.0	38546.0	92.0
41460_44643_PO1_NC5_O3_2_val_2_screen	38045.0	193.0	170.0	38252.0
41460_44643_PO2_NC5_P3_1_val_1_screen	92.0	37909.0	37945.0	93.0
41460_44643_PO2_NC5_P3_2_val_2_screen	37450.0	183.0	197.0	37325.0
41460_44643_PO3_NC5_A4_1_val_1_screen	251.0	38864.0	38566.0	256.0
41460_44643_PO3_NC5_A4_2_val_2_screen	38114.0	359.0	366.0	38043.0
41460_44643_SO1_NC1_L3_1_val_1_screen	503.0	38184.0	38372.0	527.0
41460_44643_SO1_NC1_L3_2_val_2_screen	37462.0	615.0	661.0	37628.0
41460_44643_SO2_NC1_M3_1_val_1_screen	101.0	39105.0	39399.0	93.0
41460_44643_SO2_NC1_M3_2_val_2_screen	38480.0	225.0	217.0	38541.0
41460_44643_SO3_NC1_N3_1_val_1_screen	104.0	39625.0	39901.0	108.0
41460_44643_SO3_NC1_N3_2_val_2_screen	39058.0	203.0	228.0	39338.0
41460_45001_PO1_NC5_E4_1_val_1_screen	177.0	37651.0	37739.0	178.0
41460_45001_PO1_NC5_E4_2_val_2_screen	37230.0	387.0	338.0	37423.0
41460_45001_PO2_NC3_F4_1_val_1_screen	299.0	34295.0	34938.0	291.0
41460_45001_PO2_NC3_F4_2_val_2_screen	33796.0	410.0	453.0	34509.0
41460_45001_PO3_NC4_G4_1_val_1_screen	378.0	40037.0	39418.0	340.0
41460_45001_PO3_NC4_G4_2_val_2_screen	39461.0	560.0	531.0	38822.0
41460_45001_SO1_NC1_B4_1_val_1_screen	158.0	39073.0	39265.0	137.0
41460_45001_SO1_NC1_B4_2_val_2_screen	38555.0	339.0	277.0	38836.0
41460_45001_SO2_NC1_C3_1_val_1_screen	120.0	37915.0	38185.0	114.0
41460_45001_SO2_NC1_C3_2_val_2_screen	37684.0	248.0	242.0	37848.0
41460_45001_SO3_NC1_D4_1_val_1_screen	190.0	38960.0	39383.0	185.0
41460_45001_SO3_NC1_D4_2_val_2_screen	38688.0	394.0	397.0	39084.0
42111_44957_PO1_NC3_K4_1_val_1_screen	196.0	33828.0	33764.0	169.0
