Sample	Rhesus	Human	Rat	Mouse	PhiX	Lambda	Multiple Genomes	No hits
38897_44643_SO1_NC1_A1_1_val_1_screen	34991.0	292.0	7.0	9.0	0.0	0.0	55819.0	8095.0
38897_44643_SO1_NC1_A1_2_val_2_screen	33120.0	274.0	20.0	21.0	20.0	0.0	58179.0	7579.0
38897_44643_SO2_NC1_B1_1_val_1_screen	32703.0	207.0	3.0	7.0	0.0	0.0	59240.0	7364.0
38897_44643_SO2_NC1_B1_2_val_2_screen	31428.0	180.0	10.0	4.0	13.0	0.0	61500.0	6389.0
38897_44643_SO3_NC1_C2_1_val_1_screen	33686.0	224.0	3.0	16.0	0.0	0.0	58829.0	6928.0
38897_44643_SO3_NC1_C2_2_val_2_screen	32030.0	205.0	9.0	15.0	8.0	0.0	61578.0	5841.0
38897_44700_PO1_NC5_D1_1_val_1_screen	37887.0	198.0	8.0	10.0	0.0	0.0	55441.0	6846.0
38897_44700_PO1_NC5_D1_2_val_2_screen	35590.0	176.0	5.0	9.0	13.0	0.0	58715.0	5882.0
38897_44700_SO1_NC1_E1_1_val_1_screen	35428.0	286.0	11.0	11.0	7.0	0.0	55542.0	8088.0
38897_44700_SO1_NC1_E1_2_val_2_screen	33100.0	284.0	10.0	16.0	20.0	0.0	58471.0	7472.0
38897_44700_SO2_NC1_F1_1_val_1_screen	37227.0	205.0	2.0	3.0	10.0	0.0	56717.0	7087.0
38897_44700_SO2_NC1_F1_2_val_2_screen	34941.0	201.0	8.0	10.0	22.0	0.0	59964.0	6105.0
38897_44700_SO3_NC1_G1_1_val_1_screen	35705.0	284.0	6.0	11.0	0.0	0.0	56517.0	7006.0
38897_44700_SO3_NC1_G1_2_val_2_screen	33684.0	289.0	10.0	12.0	2.0	0.0	58934.0	6598.0
38897_44700_SO4_NC1_H1_1_val_1_screen	36435.0	430.0	5.0	8.0	2.0	0.0	55403.0	6595.0
38897_44700_SO4_NC1_H1_2_val_2_screen	34227.0	403.0	14.0	10.0	10.0	0.0	57886.0	6328.0
39053_45005_PO1_NC2_I1_1_val_1_screen	38314.0	206.0	8.0	4.0	0.0	0.0	52373.0	7797.0
39053_45005_PO1_NC2_I1_2_val_2_screen	35765.0	220.0	15.0	11.0	9.0	0.0	55349.0	7333.0
39053_45005_SO1_NC1_J1_1_val_1_screen	50547.0	181.0	14.0	10.0	1.0	0.0	43219.0	7084.0
39053_45005_SO1_NC1_J1_2_val_2_screen	47651.0	185.0	17.0	22.0	12.0	0.0	46469.0	6700.0
39053_45005_SO2_NC1_K1_1_val_1_screen	42361.0	212.0	5.0	12.0	0.0	0.0	49359.0	7455.0
39053_45005_SO2_NC1_K1_2_val_2_screen	39383.0	178.0	7.0	22.0	16.0	0.0	52661.0	7137.0
41237_44641_PO1_NC4_N2_1_val_1_screen	33447.0	271.0	5.0	3.0	0.0	0.0	58350.0	7973.0
