Sample	Unique Reads	Duplicate Reads
38897_44643_SO1_NC1_A1_1_val_1	4007564.0	357812.0
38897_44643_SO1_NC1_A1_2_val_2	3965067.0	400309.0
38897_44643_SO2_NC1_B1_1_val_1	2273246.0	214859.0
38897_44643_SO2_NC1_B1_2_val_2	2249367.0	238738.0
38897_44643_SO3_NC1_C2_1_val_1	7581792.0	891537.0
38897_44643_SO3_NC1_C2_2_val_2	7408154.0	1065175.0
38897_44700_PO1_NC5_D1_1_val_1	9424665.0	1317154.0
38897_44700_PO1_NC5_D1_2_val_2	9012435.0	1729384.0
38897_44700_SO1_NC1_E1_1_val_1	3792207.0	381499.0
38897_44700_SO1_NC1_E1_2_val_2	3722185.0	451521.0
38897_44700_SO2_NC1_F1_1_val_1	2753959.0	283590.0
38897_44700_SO2_NC1_F1_2_val_2	2669802.0	367747.0
38897_44700_SO3_NC1_G1_1_val_1	5621122.0	649215.0
38897_44700_SO3_NC1_G1_2_val_2	5520580.0	749757.0
38897_44700_SO4_NC1_H1_1_val_1	3135596.0	325158.0
38897_44700_SO4_NC1_H1_2_val_2	3070707.0	390047.0
39053_45005_PO1_NC2_I1_1_val_1	2382055.0	282910.0
39053_45005_PO1_NC2_I1_2_val_2	2299542.0	365423.0
39053_45005_SO1_NC1_J1_1_val_1	871482.0	139085.0
39053_45005_SO1_NC1_J1_2_val_2	809622.0	200945.0
39053_45005_SO2_NC1_K1_1_val_1	2282945.0	301561.0
39053_45005_SO2_NC1_K1_2_val_2	2140524.0	443982.0
41237_44641_PO1_NC4_N2_1_val_1	44999581.0	5325243.0
41237_44641_PO1_NC4_N2_2_val_2	44043043.0	6281781.0
41237_44641_SO1_NC1_K2_1_val_1	24072832.0	2626825.0
41237_44641_SO1_NC1_K2_2_val_2	23636410.0	3063247.0
41237_44641_SO2_NC1_L2_1_val_1	8691275.0	1007483.0
41237_44641_SO2_NC1_L2_2_val_2	8498384.0	1200374.0
41237_44641_SO3_NC1_M2_1_val_1	8259711.0	836082.0
41237_44641_SO3_NC1_M2_2_val_2	8070352.0	1025441.0
41299_44636_SOe_NC1_L1_1_val_1	1836652.0	163772.0
41299_44636_SOe_NC1_L1_2_val_2	1801678.0	198746.0
41299_44963_PO1_NC3_N1_1_val_1	2571302.0	394140.0
41299_44963_PO1_NC3_N1_2_val_2	2404378.0	561064.0
41299_44963_PO2_NC4_M1_1_val_1	2110250.0	230121.0
41299_44963_PO2_NC4_M1_2_val_2	2052039.0	288332.0
41299_44963_PO3_NC3_O1_1_val_1	4041326.0	824768.0
41299_44963_PO3_NC3_O1_2_val_2	3786659.0	1079435.0
41299_44963_SO1_NC1_P1_1_val_1	4814018.0	475512.0
41299_44963_SO1_NC1_P1_2_val_2	4742622.0	546908.0
41299_44963_SO2_NC1_A2_1_val_1	1688819.0	176339.0
41299_44963_SO2_NC1_A2_2_val_2	1647301.0	217857.0
41299_44963_SO3_NC1_B2_1_val_1	967177.0	108583.0
41299_44963_SO3_NC1_B2_2_val_2	927926.0	147834.0
41299_45019_EO1_NC8_C1_1_val_1	300707.0	21106.0
41299_45019_EO1_NC8_C1_2_val_2	295059.0	26754.0
41299_45019_EO2_NC8_D2_1_val_1	17682573.0	1994109.0
41299_45019_EO2_NC8_D2_2_val_2	17283561.0	2393121.0
41299_45019_EO3_NC8_E2_1_val_1	23413518.0	2413910.0
41299_45019_EO3_NC8_E2_2_val_2	23130590.0	2696838.0
41299_45019_EO4_NC8_F2_1_val_1	18846796.0	2200401.0
41299_45019_EO4_NC8_F2_2_val_2	18446200.0	2600997.0
41299_45019_EO5_NC8_G2_1_val_1	16208705.0	1700466.0
41299_45019_EO5_NC8_G2_2_val_2	15902166.0	2007005.0
41299_45019_EO6_NC8_H2_1_val_1	6564099.0	709751.0
41299_45019_EO6_NC8_H2_2_val_2	6412034.0	861816.0
41299_45019_EO7_NC8_I2_1_val_1	509079.0	38463.0
41299_45019_EO7_NC8_I2_2_val_2	504254.0	43288.0
41299_45019_EO8_NC8_J2_1_val_1	13589163.0	1647828.0
41299_45019_EO8_NC8_J2_2_val_2	13272612.0	1964379.0
41391_44650_PO1_NC4_F3_1_val_1	11200528.0	976859.0
41391_44650_PO1_NC4_F3_2_val_2	10874957.0	1302430.0
41391_44650_PO2_NC4_G3_1_val_1	12484877.0	985171.0
41391_44650_PO2_NC4_G3_2_val_2	12077526.0	1392522.0
41391_44650_PO3_NC3_E3_1_val_1	25025813.0	2155694.0
41391_44650_PO3_NC3_E3_2_val_2	24126334.0	3055173.0
41391_44650_SO1_NC1_B3_1_val_1	473967.0	33029.0
41391_44650_SO1_NC1_B3_2_val_2	470142.0	36854.0
41391_44650_SO2_NC1_C4_1_val_1	7981898.0	583655.0
41391_44650_SO2_NC1_C4_2_val_2	7791409.0	774144.0
41391_44650_SO3_NC1_D3_1_val_1	4596768.0	287903.0
41391_44650_SO3_NC1_D3_2_val_2	4512016.0	372655.0
41391_44923_PO1_NC3_H3_1_val_1	39789425.0	3220924.0
41391_44923_PO1_NC3_H3_2_val_2	38813654.0	4196695.0
41391_44923_PO2_NC3_I3_1_val_1	17023727.0	1432733.0
41391_44923_PO2_NC3_I3_2_val_2	16509843.0	1946617.0
41391_44923_PO3_NC5_J3_1_val_1	4458344.0	565492.0
41391_44923_PO3_NC5_J3_2_val_2	4260343.0	763493.0
41391_44923_PO4_NC4_K3_1_val_1	3815086.0	332135.0
41391_44923_PO4_NC4_K3_2_val_2	3643387.0	503834.0
41391_44923_SO1_NC1_O2_1_val_1	2042454.0	344572.0
41391_44923_SO1_NC1_O2_2_val_2	1915092.0	471934.0
41391_44923_SO2_NC1_P2_1_val_1	2127181.0	282017.0
41391_44923_SO2_NC1_P2_2_val_2	1992580.0	416618.0
