Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
38897_44643_SO1_NC1_A1_1_val_1										0.8466834690266298	0.3207747882960554	0.3231281646498511	0.0	0.0	0.0	0.0
38897_44643_SO1_NC1_A1_2_val_2										0.5147890117036232	0.6336044309309957	0.9179897621863273	0.0	0.030948270258913793	0.0	0.0
38897_44643_SO2_NC1_B1_1_val_1										1.0849704008711967	0.42884394806983683	0.47162687766855	0.0	0.0	0.0	0.0
38897_44643_SO2_NC1_B1_2_val_2										0.7316379534284724	1.2976550942267457	0.5014865466334588	0.0376571321802911	0.0	0.0	0.0
38897_44643_SO3_NC1_C2_1_val_1										1.339818030358687	0.4775489333725584	0.8872623601135344	0.06994160076714533	0.0	0.0	0.0
38897_44643_SO3_NC1_C2_2_val_2										1.0578622263212905	0.26104417659635176	2.228914514603788	0.22005676525137652	0.07391021631273467	0.0	0.0
38897_44700_PO1_NC5_D1_1_val_1										2.1691228927480584	0.563066859716757	0.7024661401596779	0.028562186695443244	0.0	0.0	0.0
38897_44700_PO1_NC5_D1_2_val_2										5.0730724792389745	0.2570532270099484	1.9785179528915693	0.4813481142537874	0.08428863414481523	0.0	0.0
38897_44700_SO1_NC1_E1_1_val_1										1.2853213790993774	0.39653755426842646	0.2321136303660521	0.0	0.0	0.0	0.0
38897_44700_SO1_NC1_E1_2_val_2										0.6147663517043893	0.45368662920524355	1.905120555274145	0.012952286435668448	0.03531353510648976	0.0	0.0
38897_44700_SO2_NC1_F1_1_val_1										1.3020869061025602	0.31497921860989997	0.10853160018641826	0.0	0.0	0.0	0.0
38897_44700_SO2_NC1_F1_2_val_2										0.83625195269343	1.1305326034970853	0.9587398683309479	0.0	0.04499186504338057	0.0	0.0
38897_44700_SO3_NC1_G1_1_val_1										1.3086865849757572	0.5130560142575996	0.8560659061038952	0.07014531438334247	0.0	0.0	0.0
38897_44700_SO3_NC1_G1_2_val_2										0.8634023201855215	0.2125003915321195	2.2072005768303744	0.074978691904967	0.03865341326619311	0.0	0.0
38897_44700_SO4_NC1_H1_1_val_1										1.2455947388672082	0.4354808076545229	0.28393460804481	0.0	0.0	0.0	0.0
38897_44700_SO4_NC1_H1_2_val_2										0.6994581682061413	0.7803685680580378	1.3529325164055568	0.0	0.035033096567209515	0.0	0.0
39053_45005_PO1_NC2_I1_1_val_1										1.415123834171305	0.2969370169714762	0.23268764210153461	0.0	0.0	0.0	0.0
39053_45005_PO1_NC2_I1_2_val_2										1.9758391933699784	0.9621519752986257	0.2872823470261607	0.0	0.04631993115371231	0.0	0.0
39053_45005_SO1_NC1_J1_1_val_1										1.532351559352001	0.05295054451750991	0.0	0.0	0.0	0.0	0.0
39053_45005_SO1_NC1_J1_2_val_2										3.6745562504335547	0.017721723837669998	0.08415343721798603	0.0	0.0	0.0	0.0
39053_45005_SO2_NC1_K1_1_val_1										1.8651305269078076	0.14405934545123025	0.019085064106643485	0.0	0.0	0.0	0.0
39053_45005_SO2_NC1_K1_2_val_2										5.236303312024496	0.8295176432916631	0.2567048151176712	0.0	0.04551901981446122	0.0	0.0
41237_44641_PO1_NC4_N2_1_val_1										1.4347701254168934	0.40514930727966936	0.8843060187093912	0.4224896636859211	0.33342592310988767	0.0	0.0
41237_44641_PO1_NC4_N2_2_val_2										2.7720867938935556	0.37515585037070676	0.4693687100419423	0.43413742339152467	1.5283658903163415	0.03448830744859862	0.033229856402704434
41237_44641_SO1_NC1_K2_1_val_1										1.232129998536385	0.4384044118353435	0.9644452541132708	0.3162938773078161	0.10638275959667966	0.0	0.0
41237_44641_SO1_NC1_K2_2_val_2										1.874511961717557	0.2583860650741537	0.6366530691179674	1.211987079837623	0.536185452206963	0.028749967279588312	0.0
41237_44641_SO2_NC1_L2_1_val_1										1.455675558122542	0.45032643832027375	0.8330317230146785	0.056146424109547614	0.0	0.0	0.0
41237_44641_SO2_NC1_L2_2_val_2										1.6603776653700844	0.19523778064512504	1.9062964669014069	0.20545217936856838	0.06778277297625046	0.0	0.0
41237_44641_SO3_NC1_M2_1_val_1										1.2345533334283363	0.3882684474122195	0.49008028792371083	0.006158363381015525	0.0	0.0	0.0
41237_44641_SO3_NC1_M2_2_val_2										0.9449342984921375	0.20241900240828936	1.8797969613867804	0.1646568191615588	0.07150006354832276	0.0	0.0
41299_44636_SOe_NC1_L1_1_val_1										0.9967069593749052	0.23913975728235853	0.10283472267946807	0.0	0.0	0.0	0.0
41299_44636_SOe_NC1_L1_2_val_2										1.146125906178203	0.6983586877669932	0.12927093966122302	0.03592802691009639	0.0	0.0	0.0
41299_44963_PO1_NC3_N1_1_val_1										2.725975573173388	0.18707030197031665	0.013917305958278416	0.0	0.0	0.0	0.0
41299_44963_PO1_NC3_N1_2_val_2										10.622845057174523	0.7489310457394025	0.20542779848224477	0.0	0.038268774572741554	0.0	0.0
41299_44963_PO2_NC4_M1_1_val_1										1.3178228840981516	0.24217216598569102	0.10574750138775614	0.0	0.0	0.0	0.0
41299_44963_PO2_NC4_M1_2_val_2										1.2101638730438946	1.1037484948750296	0.30539593711987445	0.04259515383916063	0.0	0.0	0.0
41299_44963_PO3_NC3_O1_1_val_1										3.981098231894589	0.5533896741193343	0.24528384595390246	0.0	0.0	0.0	0.0
41299_44963_PO3_NC3_O1_2_val_2										12.011744878834046	0.9126195901769054	0.33223319601652934	0.0498047576589394	0.05302923062902331	0.0	0.0
41299_44963_SO1_NC1_P1_1_val_1										1.2120595590848477	0.4180021942532775	0.49389650503156673	0.02114330125828164	0.0	0.0	0.0
41299_44963_SO1_NC1_P1_2_val_2										0.746024316818382	0.32162033838121223	2.0760548376142536	0.03146094332715016	0.034087412469777104	0.0	0.0
41299_44963_SO2_NC1_A2_1_val_1										1.1373052710475606	0.21349574095821944	0.11022578776247453	0.0	0.0	0.0	0.0
41299_44963_SO2_NC1_A2_2_val_2										1.3443853583198622	0.7816416969359641	0.13517328316485247	0.04616588528557635	0.0	0.0	0.0
41299_44963_SO3_NC1_B2_1_val_1										1.0355632615140404	0.037904828031414636	0.0	0.0	0.0	0.0	0.0
41299_44963_SO3_NC1_B2_2_val_2										1.8022631214723122	0.05736894584593428	0.07264489401285433	0.0	0.0	0.0	0.0
41299_45019_EO1_NC8_C1_1_val_1										0.2870178612779072	0.0	0.0	0.0	0.0	0.0	0.0
41299_45019_EO1_NC8_C1_2_val_2										1.3552497430082284	0.0	0.03822599889914312	0.0	0.0	0.0	0.0
41299_45019_EO2_NC8_D2_1_val_1										1.252046086690474	0.4357322841706584	0.974920695838643	0.17803238318419728	0.04944704949382423	0.0	0.0
41299_45019_EO2_NC8_D2_2_val_2										1.6662817790409754	0.22616471623646164	0.8605533010058697	1.3661677993189256	0.3110492416996441	0.037599370346825096	0.0
41299_45019_EO3_NC8_E2_1_val_1										1.1575866750699988	0.3238029896282728	0.708514850251781	0.2836463259459756	0.23378730885523055	0.0	0.0
41299_45019_EO3_NC8_E2_2_val_2										1.463472753261146	0.17119240496405283	0.8507387770709437	0.7669148861244017	0.17196088565682371	0.03440180365346908	0.0
41299_45019_EO4_NC8_F2_1_val_1										1.4640715268639086	0.38418465762690246	0.8526386042369114	0.2006466328069838	0.06940228865641399	0.0	0.0
41299_45019_EO4_NC8_F2_2_val_2										2.5184884694068077	0.18668752807424466	1.0417812219465468	0.9495909303651995	0.18663820931725678	0.0311206241169853	0.0
41299_45019_EO5_NC8_G2_1_val_1										1.0945233011430773	0.36016205631326675	0.7597523758110144	0.14965844951906962	0.017087038785942695	0.0	0.0
41299_45019_EO5_NC8_G2_2_val_2										1.41621880079968	0.17884715466763557	1.2073705387900702	0.6603031043989799	0.08970981081776352	0.03552526385540904	0.0
41299_45019_EO6_NC8_H2_1_val_1										1.2703606206705096	0.3562176677486102	0.3654367631771161	0.006983863084859269	0.0	0.0	0.0
41299_45019_EO6_NC8_H2_2_val_2										1.1252643567232679	0.2885528255747741	1.6199975028191986	0.03571092725502147	0.05245300169559736	0.0	0.0
41299_45019_EO7_NC8_I2_1_val_1										0.48747677433268016	0.0	0.0	0.0	0.0	0.0	0.0
41299_45019_EO7_NC8_I2_2_val_2										1.9251231107360507	0.01241555096381977	0.03140404067319118	0.0	0.0	0.0	0.0
41299_45019_EO8_NC8_J2_1_val_1										1.3694373538122175	0.48522911752846426	0.8915227634848755	0.12296728594994638	0.028853053794638275	0.0	0.0
41299_45019_EO8_NC8_J2_2_val_2										2.014997286158044	0.23196023590964385	1.3256080285520595	0.9067562591100007	0.11164360167149731	0.03544928796975422	0.0
41391_44650_PO1_NC4_F3_1_val_1										1.6295928368876123	0.42817354902367993	0.8163150990315183	0.09328805588896306	0.09813418789031297	0.0	0.0
41391_44650_PO1_NC4_F3_2_val_2										3.1768665489002688	0.22755098043619224	1.7423832378788604	0.33850132054931326	0.10151462951250051	0.0	0.0
41391_44650_PO2_NC4_G3_1_val_1										1.534981767829467	0.5989486992313697	0.8304461780537764	0.025090307206310117	0.0	0.0	0.0
41391_44650_PO2_NC4_G3_2_val_2										1.900261563859396	0.20036849235057203	1.6880954013366312	0.8882537539609403	0.15098827394227846	0.0	0.0
41391_44650_PO3_NC3_E3_1_val_1										1.561532835788181	0.5712889619671152	1.081129760145507	0.22168821372913855	0.044400577576635465	0.0	0.0
41391_44650_PO3_NC3_E3_2_val_2										3.139334190409028	0.3248761004801629	0.562597555212933	1.296251757244283	1.2076753150957873	0.026421058280328563	0.0
41391_44650_SO1_NC1_B3_1_val_1										0.6494885071738377	0.05520841920031194	0.0	0.0	0.0	0.0	0.0
41391_44650_SO1_NC1_B3_2_val_2										1.8179901722210512	0.044126743130024154	0.03831003608106642	0.0	0.0	0.0	0.0
41391_44650_SO2_NC1_C4_1_val_1										1.3753333051457595	0.49840009295831955	0.7151485771073811	0.013228017690693592	0.0	0.0	0.0
41391_44650_SO2_NC1_C4_2_val_2										0.9821678513697994	0.24334225628763365	2.2585906181460724	0.21122741858378577	0.061123934252683	0.0	0.0
