Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
38897_44643_SO1_NC1_A1_1_val_1	3335.0	5627.0	0.0	9865.0	125225.0	8386.0	4356414.0	0.0763966265448841	56.8	71.3	92.6	0.0	0.0	directional	1291.0	2044.0	201949.0	4365376.0	7512.0	50293.0	668.0
38897_44643_SO2_NC1_B1_1_val_1	5168.0	5192.0	0.0	10475.0	121839.0	13331.0	2477745.0	0.20770827597709907	23.5	47.5	83.2	0.0	0.0	directional	2119.0	3049.0	316994.0	2488105.0	34126.0	134536.0	2687.0
38897_44643_SO3_NC1_C2_1_val_1	16812.0	15739.0	0.0	28993.0	309233.0	42691.0	8440778.0	0.19841080170497333	18.3	38.7	81.1	0.0	0.0	directional	7085.0	9727.0	1010525.0	8473329.0	129604.0	490047.0	9957.0
38897_44700_PO1_NC5_D1_1_val_1	29011.0	56688.0	2.0	136128.0	1226435.0	126028.0	10656120.0	0.27007530102676275	61.8	77.9	94.4	0.0	0.0	directional	8203.0	20806.0	1928225.0	10741819.0	84173.0	347995.0	7466.0
38897_44700_SO1_NC1_E1_1_val_1	4299.0	8281.0	0.0	18535.0	189631.0	16315.0	4161126.0	0.10300198432759758	69.1	78.9	95.5	0.0	0.0	directional	1286.0	3013.0	284342.0	4173706.0	8296.0	50790.0	775.0
38897_44700_SO2_NC1_F1_1_val_1	6563.0	10337.0	0.0	25059.0	237941.0	24101.0	3020649.0	0.21606235817101224	48.7	68.9	91.6	0.0	0.0	directional	2073.0	4490.0	423177.0	3037549.0	26424.0	107449.0	2203.0
38897_44700_SO3_NC1_G1_1_val_1	8419.0	15808.0	0.0	45579.0	403282.0	32330.0	6246110.0	0.13426710557981172	82.0	87.1	95.8	0.0	0.0	directional	2455.0	5964.0	552521.0	6270337.0	10020.0	59905.0	1405.0
38897_44700_SO4_NC1_H1_1_val_1	7213.0	7495.0	0.0	28226.0	213181.0	18894.0	3446046.0	0.20842278879111314	46.5	62.9	84.7	0.0	0.0	directional	2827.0	4386.0	422153.0	3460754.0	32502.0	125929.0	3421.0
39053_45005_PO1_NC2_I1_1_val_1	14120.0	7974.0	0.0	79571.0	763708.0	64926.0	2642871.0	0.5298381029394382	85.4	90.6	95.2	0.0	0.0	directional	9659.0	4461.0	1004038.0	2664965.0	13622.0	78968.0	3243.0
39053_45005_SO1_NC1_J1_1_val_1	11677.0	6632.0	0.0	69234.0	668444.0	55227.0	992258.0	1.1554899378269823	92.8	94.4	95.6	0.0	0.0	directional	7964.0	3713.0	840509.0	1010567.0	5364.0	39707.0	2533.0
39053_45005_SO2_NC1_K1_1_val_1	11150.0	7044.0	0.0	63377.0	607374.0	51230.0	2566312.0	0.4314170677104251	88.9	91.9	95.8	0.0	0.0	directional	7411.0	3739.0	785486.0	2584506.0	7943.0	53297.0	2265.0
41237_44641_PO1_NC4_N2_1_val_1	52725.0	70273.0	2.0	122981.0	1427385.0	144932.0	50201826.0	0.10476936789684549	30.6	53.7	88.5	0.0	0.0	directional	20804.0	31919.0	3222728.0	50324824.0	278765.0	1229878.0	18787.0
