AA_count_genomic	AA_count_sample	AA_coverage	AA_percent_genomic	AA_percent_sample	AC_count_genomic	AC_count_sample	AC_coverage	AC_percent_genomic	AC_percent_sample	AG_count_genomic	AG_count_sample	AG_coverage	AG_percent_genomic	AG_percent_sample	AT_count_genomic	AT_count_sample	AT_coverage	AT_percent_genomic	AT_percent_sample	A_count_genomic	A_count_sample	A_coverage	A_percent_genomic	A_percent_sample	CA_count_genomic	CA_count_sample	CA_coverage	CA_percent_genomic	CA_percent_sample	CC_count_genomic	CC_count_sample	CC_coverage	CC_percent_genomic	CC_percent_sample	CG_count_genomic	CG_count_sample	CG_coverage	CG_percent_genomic	CG_percent_sample	CT_count_genomic	CT_count_sample	CT_coverage	CT_percent_genomic	CT_percent_sample	C_count_genomic	C_count_sample	C_coverage	C_percent_genomic	C_percent_sample	GA_count_genomic	GA_count_sample	GA_coverage	GA_percent_genomic	GA_percent_sample	GC_count_genomic	GC_count_sample	GC_coverage	GC_percent_genomic	GC_percent_sample	GG_count_genomic	GG_count_sample	GG_coverage	GG_percent_genomic	GG_percent_sample	GT_count_genomic	GT_count_sample	GT_coverage	GT_percent_genomic	GT_percent_sample	G_count_genomic	G_count_sample	G_coverage	G_percent_genomic	G_percent_sample	Sample	TA_count_genomic	TA_count_sample	TA_coverage	TA_percent_genomic	TA_percent_sample	TC_count_genomic	TC_count_sample	TC_coverage	TC_percent_genomic	TC_percent_sample	TG_count_genomic	TG_count_sample	TG_coverage	TG_percent_genomic	TG_percent_sample	TT_count_genomic	TT_count_sample	TT_coverage	TT_percent_genomic	TT_percent_sample	T_count_genomic	T_count_sample	T_coverage	T_percent_genomic	T_percent_sample
38897_44643_SO1_NC1_A1_1_val_1	50314	0.000	9.77	9.07	147939219	40459	0.000	5.04	7.29	206977301	20094	0.000	7.05	3.62	223651834	39344	0.000	7.62	7.09	865528370	151798	0.000	29.47	27.09	211544317	44815	0.000	7.20	8.08	151981070	57222	0.000	5.17	10.32	31051443	7316	0.000	1.06	1.32	207116790	60830	0.000	7.05	10.97	601694290	171877	0.000	20.49	30.67	177542656	16793	0.000	6.05	3.03	124185722	16138	0.000	4.23	2.91	152117662	13884	0.000	5.18	2.50	148469303	13708	0.000	5.06	2.47	602315979	61093	0.000	20.51	10.90		189481464	38392	0.000	6.45	6.92	177587595	56099	0.000	6.05	10.11	212168899	19485	0.000	7.22	3.51	288115228	59726	0.000	9.81	10.77	867354086	175579	0.000	29.53	31.33
38897_44643_SO2_NC1_B1_1_val_1	78571	0.000	9.77	7.81	147939219	64519	0.000	5.04	6.42	206977301	53514	0.000	7.05	5.32	223651834	73213	0.000	7.62	7.28	865528370	272044	0.000	29.47	26.82	211544317	80747	0.000	7.20	8.03	151981070	81997	0.001	5.17	8.15	31051443	13413	0.000	1.06	1.33	207116790	91422	0.000	7.05	9.09	601694290	269756	0.000	20.49	26.60	177542656	44829	0.000	6.05	4.46	124185722	38438	0.000	4.23	3.82	152117662	39111	0.000	5.18	3.89	148469303	39887	0.000	5.06	3.97	602315979	163859	0.000	20.51	16.16		189481464	65873	0.000	6.45	6.55	177587595	81925	0.000	6.05	8.15	212168899	57132	0.000	7.22	5.68	288115228	100908	0.000	9.81	10.04	867354086	308601	0.000	29.53	30.43
38897_44643_SO3_NC1_C2_1_val_1	244498	0.001	9.77	7.48	147939219	193245	0.001	5.04	5.91	206977301	185745	0.001	7.05	5.68	223651834	230876	0.001	7.62	7.06	865528370	861676	0.001	29.47	26.13	211544317	253280	0.001	7.20	7.75	151981070	252107	0.002	5.17	7.71	31051443	43819	0.001	1.06	1.34	207116790	294257	0.001	7.05	9.00	601694290	850344	0.001	20.49	25.79	177542656	154710	0.001	6.05	4.73	124185722	133861	0.001	4.23	4.09	152117662	141411	0.001	5.18	4.33	148469303	140407	0.001	5.06	4.29	602315979	575541	0.001	20.51	17.45		189481464	202800	0.001	6.45	6.20	177587595	262371	0.001	6.05	8.02	212168899	202032	0.001	7.22	6.18	288115228	334182	0.001	9.81	10.22	867354086	1010217	0.001	29.53	30.63
38897_44700_PO1_NC5_D1_1_val_1	503671	0.002	9.77	8.94	147939219	442085	0.003	5.04	7.84	206977301	272033	0.001	7.05	4.83	223651834	426032	0.002	7.62	7.56	865528370	1657838	0.002	29.47	29.17	211544317	487166	0.002	7.20	8.64	151981070	493343	0.003	5.17	8.75	31051443	110022	0.004	1.06	1.95	207116790	503588	0.002	7.05	8.94	601694290	1607224	0.003	20.49	28.28	177542656	224438	0.001	6.05	3.98	124185722	225831	0.002	4.23	4.01	152117662	195182	0.001	5.18	3.46	148469303	183085	0.001	5.06	3.25	602315979	835886	0.001	20.51	14.71		189481464	428765	0.002	6.45	7.61	177587595	430555	0.002	6.05	7.64	212168899	254527	0.001	7.22	4.52	288115228	455778	0.002	9.81	8.09	867354086	1583284	0.002	29.53	27.85
38897_44700_SO1_NC1_E1_1_val_1	69904	0.000	9.77	8.88	147939219	61932	0.000	5.04	7.87	206977301	32585	0.000	7.05	4.14	223651834	58005	0.000	7.62	7.37	865528370	224575	0.000	29.47	28.26	211544317	67673	0.000	7.20	8.59	151981070	77856	0.001	5.17	9.89	31051443	14083	0.000	1.06	1.79	207116790	78071	0.000	7.05	9.91	601694290	239763	0.000	20.49	30.17	177542656	26993	0.000	6.05	3.43	124185722	27880	0.000	4.23	3.54	152117662	23030	0.000	5.18	2.92	148469303	21211	0.000	5.06	2.69	602315979	100020	0.000	20.51	12.59		189481464	57953	0.000	6.45	7.36	177587595	69709	0.000	6.05	8.85	212168899	29878	0.000	7.22	3.79	288115228	70656	0.000	9.81	8.97	867354086	230326	0.000	29.53	28.98
38897_44700_SO2_NC1_F1_1_val_1	109574	0.000	9.77	8.66	147939219	93733	0.001	5.04	7.41	206977301	63201	0.000	7.05	5.00	223651834	95000	0.000	7.62	7.51	865528370	364577	0.000	29.47	28.57	211544317	107038	0.001	7.20	8.46	151981070	108421	0.001	5.17	8.57	31051443	21712	0.001	1.06	1.72	207116790	113880	0.001	7.05	9.00	601694290	353954	0.001	20.49	27.74	177542656	52001	0.000	6.05	4.11	124185722	49883	0.000	4.23	3.94	152117662	45025	0.000	5.18	3.56	148469303	43239	0.000	5.06	3.42	602315979	191949	0.000	20.51	15.04		189481464	92904	0.000	6.45	7.34	177587595	98375	0.001	6.05	7.78	212168899	61098	0.000	7.22	4.83	288115228	109951	0.000	9.81	8.69	867354086	365472	0.000	29.53	28.64
38897_44700_SO3_NC1_G1_1_val_1	148914	0.001	9.77	9.52	147939219	128605	0.001	5.04	8.22	206977301	66507	0.000	7.05	4.25	223651834	120381	0.001	7.62	7.70	865528370	468686	0.001	29.47	29.70	211544317	139948	0.001	7.20	8.95	151981070	144807	0.001	5.17	9.26	31051443	28015	0.001	1.06	1.79	207116790	147970	0.001	7.05	9.46	601694290	464826	0.001	20.49	29.45	177542656	55679	0.000	6.05	3.56	124185722	56857	0.000	4.23	3.64	152117662	44459	0.000	5.18	2.84	148469303	41413	0.000	5.06	2.65	602315979	200128	0.000	20.51	12.68		189481464	119820	0.001	6.45	7.66	177587595	129942	0.001	6.05	8.31	212168899	60232	0.000	7.22	3.85	288115228	130441	0.000	9.81	8.34	867354086	444487	0.001	29.53	28.17
38897_44700_SO4_NC1_H1_1_val_1	114966	0.000	9.77	8.53	147939219	86266	0.001	5.04	6.40	206977301	73009	0.000	7.05	5.42	223651834	100654	0.000	7.62	7.47	865528370	378166	0.000	29.47	27.81	211544317	106819	0.001	7.20	7.92	151981070	103673	0.001	5.17	7.69	31051443	18561	0.001	1.06	1.38	207116790	119343	0.001	7.05	8.85	601694290	351375	0.001	20.49	25.84	177542656	61777	0.000	6.05	4.58	124185722	52600	0.000	4.23	3.90	152117662	52804	0.000	5.18	3.92	148469303	53137	0.000	5.06	3.94	602315979	222413	0.000	20.51	16.35		189481464	91575	0.000	6.45	6.79	177587595	105109	0.001	6.05	7.80	212168899	77147	0.000	7.22	5.72	288115228	130623	0.000	9.81	9.69	867354086	408069	0.000	29.53	30.00
39053_45005_PO1_NC2_I1_1_val_1	280333	0.001	9.77	9.99	147939219	257230	0.002	5.04	9.17	206977301	114676	0.001	7.05	4.09	223651834	220073	0.001	7.62	7.84	865528370	879700	0.001	29.47	31.08	211544317	264590	0.001	7.20	9.43	151981070	277447	0.002	5.17	9.89	31051443	58777	0.002	1.06	2.09	207116790	257400	0.001	7.05	9.17	601694290	865473	0.001	20.49	30.58	177542656	99772	0.001	6.05	3.56	124185722	101217	0.001	4.23	3.61	152117662	68963	0.000	5.18	2.46	148469303	66658	0.000	5.06	2.38	602315979	339676	0.001	20.51	12.00		189481464	227455	0.001	6.45	8.11	177587595	221185	0.001	6.05	7.88	212168899	95671	0.000	7.22	3.41	288115228	194315	0.001	9.81	6.93	867354086	745227	0.001	29.53	26.33
39053_45005_SO1_NC1_J1_1_val_1	240978	0.001	9.77	10.41	147939219	221283	0.001	5.04	9.56	206977301	91893	0.000	7.05	3.97	223651834	185173	0.001	7.62	8.00	865528370	745512	0.001	29.47	31.92	211544317	223992	0.001	7.20	9.67	151981070	233325	0.002	5.17	10.08	31051443	49396	0.002	1.06	2.13	207116790	210812	0.001	7.05	9.11	601694290	723725	0.001	20.49	30.99	177542656	81703	0.000	6.05	3.53	124185722	83124	0.001	4.23	3.59	152117662	52962	0.000	5.18	2.29	148469303	48347	0.000	5.06	2.09	602315979	268552	0.000	20.51	11.50		189481464	192066	0.001	6.45	8.30	177587595	179035	0.001	6.05	7.73	212168899	72981	0.000	7.22	3.15	288115228	148201	0.001	9.81	6.40	867354086	597540	0.001	29.53	25.59
