Sample	aligned_reads	dedup_reads	dedup_reads_percent	dup_reads	dup_reads_percent
38897_44643_SO1_NC1_A1_1_val_1	3335.0	3163.0	94.84	172.0	5.16
38897_44643_SO2_NC1_B1_1_val_1	5168.0	4847.0	93.79	321.0	6.21
38897_44643_SO3_NC1_C2_1_val_1	16812.0	15616.0	92.89	1196.0	7.11
38897_44700_PO1_NC5_D1_1_val_1	29009.0	26832.0	92.5	2177.0	7.5
38897_44700_SO1_NC1_E1_1_val_1	4299.0	4056.0	94.35	243.0	5.65
38897_44700_SO2_NC1_F1_1_val_1	6563.0	6124.0	93.31	439.0	6.69
38897_44700_SO3_NC1_G1_1_val_1	8419.0	7869.0	93.47	550.0	6.53
38897_44700_SO4_NC1_H1_1_val_1	7213.0	6733.0	93.35	480.0	6.65
39053_45005_PO1_NC2_I1_1_val_1	14120.0	13118.0	92.9	1002.0	7.1
39053_45005_SO1_NC1_J1_1_val_1	11677.0	10857.0	92.98	820.0	7.02
39053_45005_SO2_NC1_K1_1_val_1	11150.0	10417.0	93.43	733.0	6.57
41237_44641_PO1_NC4_N2_1_val_1	52723.0	49444.0	93.78	3279.0	6.22
41237_44641_SO1_NC1_K2_1_val_1	15154.0	14384.0	94.92	770.0	5.08
41237_44641_SO2_NC1_L2_1_val_1	19651.0	18394.0	93.6	1257.0	6.4
41237_44641_SO3_NC1_M2_1_val_1	9452.0	8902.0	94.18	550.0	5.82
41299_44636_SOe_NC1_L1_1_val_1	5080.0	4802.0	94.53	278.0	5.47
41299_44963_PO1_NC3_N1_1_val_1	4320.0	4101.0	94.93	219.0	5.07
41299_44963_PO2_NC4_M1_1_val_1	5006.0	4720.0	94.29	286.0	5.71
41299_44963_PO3_NC3_O1_1_val_1	25732.0	23631.0	91.84	2101.0	8.16
41299_44963_SO1_NC1_P1_1_val_1	3023.0	2875.0	95.1	148.0	4.9
41299_44963_SO2_NC1_A2_1_val_1	5435.0	5068.0	93.25	367.0	6.75
41299_44963_SO3_NC1_B2_1_val_1	4443.0	4169.0	93.83	274.0	6.17
41299_45019_EO1_NC8_C1_1_val_1	487.0	453.0	93.02	34.0	6.98
41299_45019_EO2_NC8_D2_1_val_1	36312.0	33820.0	93.14	2492.0	6.86
41299_45019_EO3_NC8_E2_1_val_1	47826.0	44876.0	93.83	2950.0	6.17
41299_45019_EO4_NC8_F2_1_val_1	41891.0	39166.0	93.5	2725.0	6.5
41299_45019_EO5_NC8_G2_1_val_1	24050.0	22472.0	93.44	1578.0	6.56
41299_45019_EO6_NC8_H2_1_val_1	17649.0	16405.0	92.95	1244.0	7.05
41299_45019_EO7_NC8_I2_1_val_1	444.0	413.0	93.02	31.0	6.98
41299_45019_EO8_NC8_J2_1_val_1	22423.0	20838.0	92.93	1585.0	7.07
41391_44650_PO1_NC4_F3_1_val_1	27649.0	26726.0	96.66	923.0	3.34
41391_44650_PO2_NC4_G3_1_val_1	28918.0	28014.0	96.87	904.0	3.13
41391_44650_PO3_NC3_E3_1_val_1	62205.0	60205.0	96.78	2000.0	3.22
41391_44650_SO1_NC1_B3_1_val_1	996.0	954.0	95.78	42.0	4.22
41391_44650_SO2_NC1_C4_1_val_1	15745.0	15246.0	96.83	499.0	3.17
41391_44650_SO3_NC1_D3_1_val_1	8545.0	8313.0	97.28	232.0	2.72
41391_44923_PO1_NC3_H3_1_val_1	55575.0	53934.0	97.05	1641.0	2.95
41391_44923_PO2_NC3_I3_1_val_1	36834.0	35666.0	96.83	1168.0	3.17
41391_44923_PO3_NC5_J3_1_val_1	49110.0	46326.0	94.33	2784.0	5.67
41391_44923_PO4_NC4_K3_1_val_1	20173.0	19413.0	96.23	760.0	3.77
41391_44923_SO1_NC1_O2_1_val_1	7394.0	6943.0	93.9	451.0	6.1
41391_44923_SO2_NC1_P2_1_val_1	10669.0	9972.0	93.47	697.0	6.53
41391_44923_SO3_NC1_A3_1_val_1	148.0	145.0	97.97	3.0	2.03
41460_44643_PO1_NC5_O3_1_val_1	21897.0	21148.0	96.58	749.0	3.42
41460_44643_PO2_NC5_P3_1_val_1	33349.0	31863.0	95.54	1486.0	4.46
41460_44643_PO3_NC5_A4_1_val_1	31285.0	30308.0	96.88	977.0	3.12
41460_44643_SO1_NC1_L3_1_val_1	6459.0	6305.0	97.62	154.0	2.38
41460_44643_SO2_NC1_M3_1_val_1	6584.0	6441.0	97.83	143.0	2.17
41460_44643_SO3_NC1_N3_1_val_1	8035.0	7813.0	97.24	222.0	2.76
41460_45001_PO1_NC5_E4_1_val_1	34306.0	32918.0	95.95	1388.0	4.05
41460_45001_PO2_NC3_F4_1_val_1	13682.0	13237.0	96.75	445.0	3.25
41460_45001_PO3_NC4_G4_1_val_1	7225.0	7060.0	97.72	165.0	2.28
41460_45001_SO1_NC1_B4_1_val_1	8103.0	7856.0	96.95	247.0	3.05
41460_45001_SO2_NC1_C3_1_val_1	9033.0	8749.0	96.86	284.0	3.14
41460_45001_SO3_NC1_D4_1_val_1	3602.0	3505.0	97.31	97.0	2.69
42111_44957_PO1_NC3_K4_1_val_1	11858.0	11459.0	96.64	399.0	3.36
42111_44957_PO2_NC3_L4_1_val_1	38697.0	37238.0	96.23	1459.0	3.77
42111_44957_SO1_NC1_H4_1_val_1	6321.0	6133.0	97.03	188.0	2.97
42111_44957_SO2_NC1_B5_1_val_1	10271.0	9766.0	95.08	505.0	4.92
42111_44957_SO3_NC1_J4_1_val_1	7502.0	7269.0	96.89	233.0	3.11
42111_45019_EOo_NC8_M4_1_val_1	6245.0	6077.0	97.31	168.0	2.69
42473_44998_PO1_NC2_I4_1_val_1	11586.0	11186.0	96.55	400.0	3.45
42473_44998_SO1_NC1_P4_1_val_1	598.0	585.0	97.83	13.0	2.17
42473_44998_SO2_NC1_A5_1_val_1	8480.0	8025.0	94.63	455.0	5.37
42473_45061_EO1_NC8_O4_1_val_1	4336.0	4208.0	97.05	128.0	2.95
42651_45042_PO1_NC3_E5_1_val_1	17495.0	16688.0	95.39	807.0	4.61
42651_45042_PO2_NC4_N4_1_val_1	10729.0	10463.0	97.52	266.0	2.48
42651_45042_PO3_NC4_G5_1_val_1	13819.0	13146.0	95.13	673.0	4.87
42651_45042_SO1_NC1_C6_1_val_1	5792.0	5522.0	95.34	270.0	4.66
42651_45042_SO2_NC1_D5_1_val_1	4695.0	4487.0	95.57	208.0	4.43
42651_45042_SO3_NC1_F5_1_val_1	36696.0	34977.0	95.32	1719.0	4.68
43028_44664_PO2_NC5_K5_1_val_1	39326.0	37518.0	95.4	1808.0	4.6
43028_44664_SO1_NC1_H5_1_val_1	12381.0	11820.0	95.47	561.0	4.53
43028_44664_SO2_NC1_I5_1_val_1	15064.0	14372.0	95.41	692.0	4.59
43028_44664_SO3_NC1_J5_1_val_1	21158.0	20066.0	94.84	1092.0	5.16
43051_44931_SO1_NC1_L5_1_val_1	44073.0	41712.0	94.64	2361.0	5.36
43051_45068_EO1_NC8_M5_1_val_1	4983.0	4744.0	95.2	239.0	4.8
43051_45068_EO2_NC8_N5_1_val_1	9.0	9.0	100.0	0.0	0.0
43051_45068_EO3_NC8_O5_1_val_1	8959.0	8531.0	95.22	428.0	4.78
44218_44676_PO1_NC4_M6_1_val_1	11323.0	10640.0	93.97	683.0	6.03
44218_44676_SO1_NC1_J6_1_val_1	4592.0	4363.0	95.01	229.0	4.99
44218_44676_SO2_NC1_K6_1_val_1	9178.0	8751.0	95.35	427.0	4.65
44218_44676_SO3_NC1_L6_1_val_1	7692.0	7354.0	95.61	338.0	4.39
44564_44991_PO1_NC3_H6_1_val_1	41161.0	39112.0	95.02	2049.0	4.98
44564_44991_SO1_NC1_E6_1_val_1	5244.0	4986.0	95.08	258.0	4.92
44564_44991_SO2_NC1_F6_1_val_1	9752.0	9230.0	94.65	522.0	5.35
44564_44991_SO3_NC1_G6_1_val_1	1239.0	1196.0	96.53	43.0	3.47
44994_45005_PO1_NC3_B6_1_val_1	4271.0	4071.0	95.32	200.0	4.68
44994_45005_PO2_NC3_C5_1_val_1	16317.0	15637.0	95.83	680.0	4.17
44994_45005_SO1_NC1_P5_1_val_1	2024.0	1947.0	96.2	77.0	3.8
44994_45005_SO2_NC1_A6_1_val_1	7000.0	6662.0	95.17	338.0	4.83
44994_45005_SO3_NC1_D6_1_val_1	12044.0	11438.0	94.97	606.0	5.03
45208_44650_PO1_NC5_A7_1_val_1	4663.0	4522.0	96.98	141.0	3.02
45208_44650_PO2_NC3_B7_1_val_1	3707.0	3579.0	96.55	128.0	3.45
45208_44650_PO3_NC5_C8_1_val_1	42734.0	40658.0	95.14	2076.0	4.86
45208_44650_SO1_NC1_N6_1_val_1	36605.0	34615.0	94.56	1990.0	5.44
45208_44650_SO2_NC1_O6_1_val_1	15376.0	14681.0	95.48	695.0	4.52
45208_44650_SO3_NC1_P6_1_val_1	838.0	814.0	97.14	24.0	2.86
45208_45054_BL1_NC16_I7_1_val_1	3611.0	3486.0	96.54	125.0	3.46
45208_45054_BL2_NC16_J7_1_val_1	22246.0	21500.0	96.65	746.0	3.35
45208_45054_BL3_NC16_K7_1_val_1	28545.0	27542.0	96.49	1003.0	3.51
45208_45054_BL4_NC16_L7_1_val_1	24762.0	23893.0	96.49	869.0	3.51
45208_45054_BL5_NC16_M7_1_val_1	16769.0	16242.0	96.86	527.0	3.14
45208_45054_BL6_NC16_N7_1_val_1	15335.0	14753.0	96.2	582.0	3.8
45208_45054_EO1_NC8_D7_1_val_1	28554.0	27195.0	95.24	1359.0	4.76
45208_45054_EO2_NC8_E7_1_val_1	3761.0	3617.0	96.17	144.0	3.83
45208_45054_EO3_NC8_F7_1_val_1	2883.0	2783.0	96.53	100.0	3.47
45208_45054_EO4_NC8_G7_1_val_1	6832.0	6595.0	96.53	237.0	3.47
45208_45054_EO5_NC8_H7_1_val_1	8099.0	7844.0	96.85	255.0	3.15
45669_44700_PO1_NC5_O8_1_val_1	16638.0	15984.0	96.07	654.0	3.93
45669_44700_PO2_NC5_P8_1_val_1	34889.0	33361.0	95.62	1528.0	4.38
45669_44700_PO3_NC4_A9_1_val_1	68516.0	65131.0	95.06	3385.0	4.94
45669_44700_SO1_NC1_L8_1_val_1	23056.0	21929.0	95.11	1127.0	4.89
45669_44700_SO2_NC1_M8_1_val_1	7055.0	6837.0	96.91	218.0	3.09
45669_44700_SO3_NC1_N8_1_val_1	4919.0	4770.0	96.97	149.0	3.03
45669_44964_PO1_NC4_B8_1_val_1	4111.0	3977.0	96.74	134.0	3.26
45669_44964_PO2_NC4_C7_1_val_1	12257.0	11797.0	96.25	460.0	3.75
45669_44964_PO3_NC3_D8_1_val_1	16806.0	16163.0	96.17	643.0	3.83
45669_44964_PO4_NC3_E8_1_val_1	19401.0	18585.0	95.79	816.0	4.21
45669_44964_SO1_NC1_O7_1_val_1	46479.0	44704.0	96.18	1775.0	3.82
45669_44964_SO2_NC1_P7_1_val_1	4436.0	4281.0	96.51	155.0	3.49
45669_44964_SO3_NC1_A8_1_val_1	8927.0	8593.0	96.26	334.0	3.74
45982_44908_PO1_NC3_J8_1_val_1	3932.0	3815.0	97.02	117.0	2.98
45982_44908_PO2_NC4_K8_1_val_1	21523.0	20558.0	95.52	965.0	4.48
45982_44908_SO1_NC1_G8_1_val_1	30303.0	28644.0	94.53	1659.0	5.47
45982_44908_SO2_NC1_H8_1_val_1	18845.0	18093.0	96.01	752.0	3.99
45982_44908_SO3_NC1_I8_1_val_1	9412.0	9070.0	96.37	342.0	3.63
