Sample	meth_chg	meth_chh	meth_cpg	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
38897_44643_SO1_NC1_A1_1_val_1	6777.0	83678.0	5784.0	93.0	135339.0	5194.0	33469.0	437.0
38897_44643_SO2_NC1_B1_1_val_1	8022.0	91044.0	10067.0	83.4	235337.0	25378.0	98824.0	2002.0
38897_44643_SO3_NC1_C2_1_val_1	22528.0	233554.0	32650.0	81.2	760186.0	97685.0	366210.0	7559.0
38897_44700_PO1_NC5_D1_1_val_1	104155.0	935183.0	96142.0	94.4	1467199.0	64522.0	261515.0	5682.0
38897_44700_SO1_NC1_E1_1_val_1	13560.0	136915.0	11990.0	95.4	204470.0	6157.0	35266.0	582.0
38897_44700_SO2_NC1_F1_1_val_1	18838.0	178302.0	18144.0	91.5	317599.0	20126.0	80504.0	1685.0
38897_44700_SO3_NC1_G1_1_val_1	33216.0	292127.0	23444.0	95.8	398606.0	7351.0	41440.0	1028.0
38897_44700_SO4_NC1_H1_1_val_1	20677.0	154722.0	13722.0	84.7	303972.0	23214.0	89164.0	2473.0
39053_45005_PO1_NC2_I1_1_val_1	57903.0	556477.0	47165.0	95.2	730919.0	9943.0	57068.0	2363.0
39053_45005_SO1_NC1_J1_1_val_1	49903.0	482433.0	39450.0	95.6	605722.0	3900.0	28208.0	1828.0
39053_45005_SO2_NC1_K1_1_val_1	45455.0	438227.0	36640.0	95.9	564484.0	5627.0	36967.0	1568.0
41237_44641_PO1_NC4_N2_1_val_1	89877.0	1013557.0	105281.0	88.4	2303054.0	203408.0	877146.0	13785.0
41237_44641_SO1_NC1_K2_1_val_1	22446.0	319233.0	25681.0	87.9	666546.0	48691.0	246964.0	3531.0
41237_44641_SO2_NC1_L2_1_val_1	44663.0	427299.0	46118.0	89.2	874133.0	69698.0	280778.0	5577.0
41237_44641_SO3_NC1_M2_1_val_1	19378.0	204350.0	19917.0	90.9	398119.0	27853.0	124637.0	1984.0
41299_44636_SOe_NC1_L1_1_val_1	15366.0	135467.0	14630.0	91.9	242755.0	15205.0	60802.0	1285.0
41299_44963_PO1_NC3_N1_1_val_1	12512.0	121356.0	11080.0	95.3	178959.0	5011.0	28449.0	551.0
41299_44963_PO2_NC4_M1_1_val_1	18396.0	175385.0	15330.0	97.9	225419.0	1631.0	14349.0	328.0
41299_44963_PO3_NC3_O1_1_val_1	108956.0	972885.0	91949.0	98.6	1224357.0	6015.0	43222.0	1330.0
41299_44963_SO1_NC1_P1_1_val_1	2670.0	48406.0	3683.0	84.3	120435.0	10724.0	54266.0	686.0
41299_44963_SO2_NC1_A2_1_val_1	23252.0	204107.0	20420.0	97.1	282253.0	6621.0	27234.0	619.0
41299_44963_SO3_NC1_B2_1_val_1	18812.0	167069.0	16613.0	96.5	233643.0	5801.0	24744.0	604.0
41299_45019_EO1_NC8_C1_1_val_1	1002.0	10050.0	972.0	85.0	20613.0	1661.0	6756.0	172.0
41299_45019_EO2_NC8_D2_1_val_1	17138.0	199399.0	41917.0	56.7	1526036.0	267094.0	968495.0	31993.0
41299_45019_EO3_NC8_E2_1_val_1	13205.0	239887.0	44311.0	51.5	1908441.0	336659.0	1232703.0	41676.0
41299_45019_EO4_NC8_F2_1_val_1	46423.0	493051.0	61651.0	68.2	1771865.0	235118.0	906853.0	28769.0
41299_45019_EO5_NC8_G2_1_val_1	36598.0	379153.0	41584.0	74.2	1027781.0	112590.0	443384.0	14472.0
41299_45019_EO6_NC8_H2_1_val_1	51735.0	447079.0	50549.0	91.7	808105.0	51275.0	202913.0	4554.0
41299_45019_EO7_NC8_I2_1_val_1	281.0	4990.0	428.0	68.7	18656.0	2459.0	10303.0	195.0
41299_45019_EO8_NC8_J2_1_val_1	52323.0	494968.0	57604.0	91.9	1011350.0	80732.0	320622.0	5101.0
41391_44650_PO1_NC4_F3_1_val_1	73555.0	747247.0	70560.0	88.0	1345868.0	91596.0	353266.0	9644.0
41391_44650_PO2_NC4_G3_1_val_1	56961.0	578888.0	66279.0	84.3	1332168.0	130426.0	487282.0	12332.0
41391_44650_PO3_NC3_E3_1_val_1	118856.0	1165938.0	134291.0	84.6	2870055.0	292813.0	1133800.0	24357.0
41391_44650_SO1_NC1_B3_1_val_1	2932.0	29939.0	2689.0	92.1	48603.0	2607.0	10206.0	230.0
41391_44650_SO2_NC1_C4_1_val_1	26766.0	278705.0	31755.0	83.7	703504.0	74261.0	285849.0	6168.0
41391_44650_SO3_NC1_D3_1_val_1	17673.0	181691.0	17990.0	86.8	388187.0	32920.0	135169.0	2744.0
41391_44923_PO1_NC3_H3_1_val_1	42219.0	594271.0	73878.0	75.6	2220522.0	307758.0	1178598.0	23798.0
41391_44923_PO2_NC3_I3_1_val_1	62008.0	657735.0	71051.0	82.0	1611319.0	165769.0	639117.0	15639.0
41391_44923_PO3_NC5_J3_1_val_1	209336.0	1966037.0	168652.0	95.7	2544662.0	28983.0	164055.0	7599.0
41391_44923_PO4_NC4_K3_1_val_1	77610.0	738707.0	64060.0	95.0	997720.0	17837.0	96102.0	3404.0
41391_44923_SO1_NC1_O2_1_val_1	27209.0	276965.0	22198.0	93.2	372984.0	7233.0	37755.0	1624.0
41391_44923_SO2_NC1_P2_1_val_1	42735.0	423671.0	34505.0	96.0	537309.0	3789.0	31166.0	1443.0
41391_44923_SO3_NC1_A3_1_val_1	181.0	1806.0	254.0	81.4	6020.0	851.0	2870.0	58.0
41460_44643_PO1_NC5_O3_1_val_1	69129.0	676921.0	62074.0	95.1	1032195.0	37737.0	183164.0	3170.0
41460_44643_PO2_NC5_P3_1_val_1	115058.0	1133762.0	98771.0	97.9	1507152.0	19915.0	137546.0	2100.0
41460_44643_PO3_NC5_A4_1_val_1	47012.0	455637.0	64021.0	82.4	1349184.0	167981.0	600893.0	13640.0
41460_44643_SO1_NC1_L3_1_val_1	4077.0	38809.0	8331.0	73.0	239833.0	39132.0	146407.0	3077.0
41460_44643_SO2_NC1_M3_1_val_1	18813.0	197980.0	16279.0	97.0	275777.0	4785.0	37410.0	510.0
41460_44643_SO3_NC1_N3_1_val_1	19467.0	198113.0	19356.0	91.2	358185.0	22298.0	97092.0	1859.0
41460_45001_PO1_NC5_E4_1_val_1	116057.0	1019038.0	109540.0	93.7	1672092.0	83224.0	336904.0	7329.0
41460_45001_PO2_NC3_F4_1_val_1	44671.0	393931.0	43050.0	91.7	684276.0	41820.0	156915.0	3889.0
41460_45001_PO3_NC4_G4_1_val_1	6036.0	64240.0	10986.0	74.8	307093.0	45506.0	176618.0	3707.0
41460_45001_SO1_NC1_B4_1_val_1	16622.0	155450.0	18447.0	87.4	357678.0	33180.0	131318.0	2661.0
41460_45001_SO2_NC1_C3_1_val_1	26875.0	248220.0	25717.0	93.3	420204.0	22910.0	94635.0	1847.0
41460_45001_SO3_NC1_D4_1_val_1	8165.0	73561.0	8980.0	87.4	172712.0	16754.0	63961.0	1291.0
42111_44957_PO1_NC3_K4_1_val_1	37476.0	352215.0	33754.0	93.4	537993.0	22512.0	89653.0	2383.0
42111_44957_PO2_NC3_L4_1_val_1	105632.0	894312.0	107382.0	91.3	1710309.0	124850.0	467893.0	10240.0
42111_44957_SO1_NC1_H4_1_val_1	21606.0	205464.0	19111.0	94.8	304988.0	10757.0	47012.0	1038.0
42111_44957_SO2_NC1_B5_1_val_1	18319.0	175146.0	22722.0	83.0	479425.0	53949.0	204644.0	4645.0
42111_44957_SO3_NC1_J4_1_val_1	25586.0	238980.0	22659.0	94.9	357047.0	13458.0	55138.0	1226.0
42111_45019_EOo_NC8_M4_1_val_1	16472.0	161125.0	12521.0	90.0	255822.0	9619.0	54701.0	1384.0
42473_44998_PO1_NC2_I4_1_val_1	52718.0	442146.0	44724.0	98.0	570346.0	4938.0	24898.0	922.0
42473_44998_SO1_NC1_P4_1_val_1	2270.0	21369.0	1861.0	94.4	28518.0	491.0	2417.0	110.0
42473_44998_SO2_NC1_A5_1_val_1	30696.0	275438.0	27455.0	95.3	415738.0	15709.0	65079.0	1361.0
42473_45061_EO1_NC8_O4_1_val_1	15609.0	146498.0	13683.0	96.8	199964.0	3976.0	19746.0	452.0
42651_45042_PO1_NC3_E5_1_val_1	34599.0	333628.0	39099.0	86.4	793914.0	78073.0	302359.0	6156.0
42651_45042_PO2_NC4_N4_1_val_1	14969.0	165149.0	17032.0	80.4	414200.0	40605.0	172293.0	4152.0
42651_45042_PO3_NC4_G5_1_val_1	50098.0	487625.0	44803.0	95.3	718882.0	25742.0	108407.0	2207.0
42651_45042_SO1_NC1_C6_1_val_1	19031.0	171562.0	17798.0	92.8	285197.0	15147.0	60274.0	1385.0
42651_45042_SO2_NC1_D5_1_val_1	18335.0	169270.0	16373.0	94.6	251858.0	9521.0	37432.0	927.0
42651_45042_SO3_NC1_F5_1_val_1	51606.0	513619.0	69576.0	81.0	1628928.0	203374.0	774400.0	16353.0
43028_44664_PO2_NC5_K5_1_val_1	32362.0	433293.0	57299.0	80.5	1562286.0	207185.0	818247.0	13900.0
