Sample	total_reads	Human counts	Human percentage	Rhesus counts	Rhesus percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage	No hits counts	No hits percentage
38897_44643_SO1_NC1_A1_1_val_1_screen	99213	55981.0	56.42	90788.0	91.51	1262.0	1.27	2437.0	2.46	0.0	0.0	1.0	0.0	8095	8.16
38897_44643_SO1_NC1_A1_2_val_2_screen	99213	58238.0	58.690000000000005	91252.0	91.97	1874.0	1.88	3186.0	3.21	20.0	0.02	2.0	0.0	7579	7.64
38897_44643_SO2_NC1_B1_1_val_1_screen	99524	59370.0	59.66	91929.0	92.36999999999999	1041.0	1.05	2333.0	2.34	0.0	0.0	1.0	0.0	7364	7.4
38897_44643_SO2_NC1_B1_2_val_2_screen	99524	61546.0	61.84	92912.0	93.36	1438.0	1.44	2803.0	2.8099999999999996	14.0	0.01	0.0	0.0	6389	6.42
38897_44643_SO3_NC1_C2_1_val_1_screen	99686	58974.0	59.16	92496.0	92.79	1029.0	1.04	2191.0	2.2	0.0	0.0	1.0	0.0	6928	6.95
38897_44643_SO3_NC1_C2_2_val_2_screen	99686	61671.0	61.870000000000005	93586.0	93.88	1358.0	1.37	2828.0	2.84	8.0	0.01	1.0	0.0	5841	5.86
38897_44700_PO1_NC5_D1_1_val_1_screen	100390	55567.0	55.36000000000001	93313.0	92.94999999999999	1115.0	1.1099999999999999	2176.0	2.17	0.0	0.0	0.0	0.0	6846	6.82
38897_44700_PO1_NC5_D1_2_val_2_screen	100390	58742.0	58.52	94292.0	93.92000000000002	1589.0	1.5899999999999999	2869.0	2.85	14.0	0.01	2.0	0.0	5882	5.86
38897_44700_SO1_NC1_E1_1_val_1_screen	99373	55711.0	56.06	90942.0	91.51	1070.0	1.07	2191.0	2.21	7.0	0.01	0.0	0.0	8088	8.14
38897_44700_SO1_NC1_E1_2_val_2_screen	99373	58544.0	58.92	91540.0	92.11	1667.0	1.6800000000000002	2969.0	2.9899999999999998	20.0	0.02	3.0	0.0	7472	7.52
38897_44700_SO2_NC1_F1_1_val_1_screen	101251	56816.0	56.11000000000001	93933.0	92.77999999999999	1144.0	1.1199999999999999	2199.0	2.17	10.0	0.01	0.0	0.0	7087	7.0
38897_44700_SO2_NC1_F1_2_val_2_screen	101251	60003.0	59.260000000000005	94873.0	93.7	1655.0	1.6300000000000001	2940.0	2.8999999999999995	22.0	0.02	2.0	0.0	6105	6.03
38897_44700_SO3_NC1_G1_1_val_1_screen	99529	56683.0	56.94	92196.0	92.62	1133.0	1.14	2214.0	2.23	0.0	0.0	0.0	0.0	7006	7.04
38897_44700_SO3_NC1_G1_2_val_2_screen	99529	59049.0	59.33	92588.0	93.02	1597.0	1.6	2844.0	2.85	2.0	0.0	2.0	0.0	6598	6.63
38897_44700_SO4_NC1_H1_1_val_1_screen	98878	55721.0	56.36	91815.0	92.85	1118.0	1.1300000000000001	2322.0	2.34	2.0	0.0	0.0	0.0	6595	6.67
38897_44700_SO4_NC1_H1_2_val_2_screen	98878	58124.0	58.79	92080.0	93.12	1550.0	1.56	2863.0	2.8899999999999997	10.0	0.01	1.0	0.0	6328	6.4
39053_45005_PO1_NC2_I1_1_val_1_screen	98702	52438.0	53.120000000000005	90664.0	91.86	1215.0	1.23	2289.0	2.3199999999999994	0.0	0.0	2.0	0.0	7797	7.9
39053_45005_PO1_NC2_I1_2_val_2_screen	98702	55381.0	56.12	91085.0	92.28999999999999	1759.0	1.7799999999999998	2928.0	2.9599999999999995	9.0	0.01	1.0	0.0	7333	7.43
39053_45005_SO1_NC1_J1_1_val_1_screen	101056	43251.0	42.790000000000006	93747.0	92.77	1553.0	1.54	2297.0	2.2699999999999996	1.0	0.0	1.0	0.0	7084	7.01
39053_45005_SO1_NC1_J1_2_val_2_screen	101056	46407.0	45.919999999999995	94090.0	93.11	2294.0	2.27	3123.0	3.09	12.0	0.01	4.0	0.0	6700	6.63
39053_45005_SO2_NC1_K1_1_val_1_screen	99404	49410.0	49.71	91693.0	92.24000000000001	1435.0	1.44	2377.0	2.3899999999999997	1.0	0.0	2.0	0.0	7455	7.5
39053_45005_SO2_NC1_K1_2_val_2_screen	99404	52622.0	52.93	92009.0	92.55999999999999	2136.0	2.15	3197.0	3.2199999999999998	16.0	0.02	7.0	0.01	7137	7.18
41237_44641_PO1_NC4_N2_1_val_1_screen	100049	58516.0	58.49	91761.0	91.72	1071.0	1.07	2318.0	2.3200000000000003	0.0	0.0	0.0	0.0	7973	7.97
41237_44641_PO1_NC4_N2_2_val_2_screen	100049	60900.0	60.870000000000005	92428.0	92.39	1572.0	1.5699999999999998	2955.0	2.9599999999999995	8.0	0.01	3.0	0.0	7283	7.28
41237_44641_SO1_NC1_K2_1_val_1_screen	99998	58093.0	58.089999999999996	91648.0	91.65	1053.0	1.05	2177.0	2.18	1.0	0.0	0.0	0.0	8059	8.06
41237_44641_SO1_NC1_K2_2_val_2_screen	99998	61002.0	61.0	92857.0	92.86000000000001	1455.0	1.46	2790.0	2.79	8.0	0.01	0.0	0.0	6849	6.85
41237_44641_SO2_NC1_L2_1_val_1_screen	99987	58304.0	58.31	93080.0	93.10000000000001	1036.0	1.03	2186.0	2.18	9.0	0.01	0.0	0.0	6659	6.66
41237_44641_SO2_NC1_L2_2_val_2_screen	99987	60724.0	60.73	93465.0	93.48	1529.0	1.53	2913.0	2.9099999999999997	20.0	0.02	2.0	0.0	6209	6.21
41237_44641_SO3_NC1_M2_1_val_1_screen	99953	56168.0	56.199999999999996	92206.0	92.24999999999999	1152.0	1.15	2167.0	2.16	0.0	0.0	0.0	0.0	7396	7.4
41237_44641_SO3_NC1_M2_2_val_2_screen	99953	59174.0	59.199999999999996	92994.0	93.03	1728.0	1.7200000000000002	3030.0	3.0300000000000002	13.0	0.01	4.0	0.0	6586	6.59
41299_44636_SOe_NC1_L1_1_val_1_screen	100021	57679.0	57.660000000000004	93353.0	93.34	1283.0	1.29	2445.0	2.44	0.0	0.0	1.0	0.0	6361	6.36
41299_44636_SOe_NC1_L1_2_val_2_screen	100021	59830.0	59.81999999999999	93335.0	93.32	1765.0	1.7600000000000002	3157.0	3.1499999999999995	13.0	0.01	2.0	0.0	6381	6.38
41299_44963_PO1_NC3_N1_1_val_1_screen	98848	45601.0	46.129999999999995	91222.0	92.28999999999999	1604.0	1.62	2256.0	2.28	2.0	0.0	0.0	0.0	7354	7.44
41299_44963_PO1_NC3_N1_2_val_2_screen	98848	49014.0	49.58	91817.0	92.9	2440.0	2.4699999999999998	3267.0	3.3099999999999996	24.0	0.02	1.0	0.0	6682	6.76
41299_44963_PO2_NC4_M1_1_val_1_screen	101755	54748.0	53.81	93785.0	92.16	1660.0	1.6300000000000001	2706.0	2.65	1.0	0.0	1.0	0.0	7651	7.52
41299_44963_PO2_NC4_M1_2_val_2_screen	101755	57155.0	56.17	93818.0	92.21000000000001	3012.0	2.96	4154.0	4.08	27.0	0.03	5.0	0.0	7580	7.45
41299_44963_PO3_NC3_O1_1_val_1_screen	99308	44298.0	44.6	92676.0	93.32	1674.0	1.68	2364.0	2.3899999999999997	1.0	0.0	0.0	0.0	6405	6.45
41299_44963_PO3_NC3_O1_2_val_2_screen	99308	47367.0	47.699999999999996	92790.0	93.44	2258.0	2.27	3063.0	3.0799999999999996	19.0	0.02	1.0	0.0	6256	6.3
41299_44963_SO1_NC1_P1_1_val_1_screen	99802	58686.0	58.8	92987.0	93.17	1059.0	1.06	2125.0	2.13	1.0	0.0	0.0	0.0	6537	6.55
