Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
38897_44643_SO1_NC1_A1_1_val_1	38897_44643_SO1_NC1_A1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4365376.0	0.0	20-130	22.0	91.80340389975288	119.88408787696638	127	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
38897_44643_SO1_NC1_A1_2_val_2	38897_44643_SO1_NC1_A1_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4365376.0	0.0	20-120	21.0	90.82990283017347	110.10744320764123	117	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
38897_44643_SO2_NC1_B1_1_val_1	38897_44643_SO2_NC1_B1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2488105.0	0.0	20-130	22.0	91.36453971655611	124.29896648252385	127	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
38897_44643_SO2_NC1_B1_2_val_2	38897_44643_SO2_NC1_B1_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2488105.0	0.0	20-120	22.0	90.40481427557376	114.13997721157266	117	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
38897_44643_SO3_NC1_C2_1_val_1	38897_44643_SO3_NC1_C2_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8473329.0	0.0	20-130	22.0	89.47831465113248	124.8705936002249	127	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
38897_44643_SO3_NC1_C2_2_val_2	38897_44643_SO3_NC1_C2_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8473329.0	0.0	20-120	22.0	87.42907994250186	114.70320130376149	117	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
38897_44700_PO1_NC5_D1_1_val_1	38897_44700_PO1_NC5_D1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10741819.0	0.0	20-130	22.0	87.73806420080733	124.34803034756031	127	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
38897_44700_PO1_NC5_D1_2_val_2	38897_44700_PO1_NC5_D1_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10741819.0	0.0	20-120	22.0	83.90044835252169	114.17875910960704	117	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
38897_44700_SO1_NC1_E1_1_val_1	38897_44700_SO1_NC1_E1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4173706.0	0.0	20-130	22.0	90.8594554083758	122.44157710198083	127	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
38897_44700_SO1_NC1_E1_2_val_2	38897_44700_SO1_NC1_E1_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4173706.0	0.0	20-120	21.0	89.18177228137047	112.49295062948852	117	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
