Sample	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-C_coverage	Bismark_mqc-generalstats-bismark-dup_reads_percent	Bismark_mqc-generalstats-bismark-dedup_reads	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
38897_44643_SO1_NC1_A1_1_val_1	142	156.495345	93.0	135339.0	0.000	5.16	3163.0	3335.0	0.0763966265448841	8.19659610024712	22.0	119.88408787696638	127	9.090909090909092	4365376.0
38897_44643_SO1_NC1_A1_2_val_2										9.170097169826533	21.0	110.10744320764123	117	18.181818181818183	4365376.0
38897_44643_SO2_NC1_B1_1_val_1	200	209.420492	83.4	235337.0	0.000	6.21	4847.0	5168.0	0.20770827597709907	8.63546028344389	22.0	124.29896648252385	127	9.090909090909092	2488105.0
38897_44643_SO2_NC1_B1_2_val_2										9.595185724426244	22.0	114.13997721157266	117	18.181818181818183	2488105.0
38897_44643_SO3_NC1_C2_1_val_1	213	220.619992	81.2	760186.0	0.001	7.11	15616.0	16812.0	0.19841080170497333	10.521685348867521	22.0	124.8705936002249	127	9.090909090909092	8473329.0
38897_44643_SO3_NC1_C2_2_val_2										12.570920057498142	22.0	114.70320130376149	117	18.181818181818183	8473329.0
38897_44700_PO1_NC5_D1_1_val_1	217	228.45405600000004	94.4	1467199.0	0.003	7.5	26832.0	29011.0	0.27007530102676275	12.26193579919267	22.0	124.34803034756031	127	9.090909090909092	10741819.0
38897_44700_PO1_NC5_D1_2_val_2										16.099551647478307	22.0	114.17875910960704	117	9.090909090909092	10741819.0
38897_44700_SO1_NC1_E1_1_val_1	180	192.227046	95.4	204470.0	0.000	5.65	4056.0	4299.0	0.10300198432759758	9.140544591624206	22.0	122.44157710198083	127	9.090909090909092	4173706.0
38897_44700_SO1_NC1_E1_2_val_2										10.81822771862953	21.0	112.49295062948852	117	18.181818181818183	4173706.0
38897_44700_SO2_NC1_F1_1_val_1	208	218.778254	91.5	317599.0	0.001	6.69	6124.0	6563.0	0.21606235817101224	9.336164857979242	22.0	124.12431371477464	127	9.090909090909092	3037549.0
38897_44700_SO2_NC1_F1_2_val_2										12.106716350286703	22.0	113.9881954167653	117	9.090909090909092	3037549.0
38897_44700_SO3_NC1_G1_1_val_1	184	198.195345	95.8	398606.0	0.001	6.53	7869.0	8419.0	0.13426710557981172	10.353752641117325	22.0	123.23311681652837	127	9.090909090909092	6270337.0
38897_44700_SO3_NC1_G1_2_val_2										11.957207708611932	22.0	113.1595030697712	117	18.181818181818183	6270337.0
38897_44700_SO4_NC1_H1_1_val_1	187	201.025011	84.7	303972.0	0.001	6.65	6733.0	7213.0	0.20842278879111314	9.395594358709374	22.0	123.23748061838548	127	9.090909090909092	3460754.0
38897_44700_SO4_NC1_H1_2_val_2										11.270596160191772	22.0	113.21521928458365	117	18.181818181818183	3460754.0
39053_45005_PO1_NC2_I1_1_val_1	195	210.348783	95.2	730919.0	0.001	7.1	13118.0	14120.0	0.5298381029394382	10.615936654290266	24.0	122.73022347385425	127	18.181818181818183	2664965.0
39053_45005_PO1_NC2_I1_2_val_2										13.71212895989467	23.0	112.62981952858668	117	9.090909090909092	2664965.0
39053_45005_SO1_NC1_J1_1_val_1	190	206.992525	95.6	605722.0	0.001	7.02	10857.0	11677.0	1.1554899378269823	13.763141462539949	27.0	122.18968064462821	127	18.181818181818183	1010567.0
39053_45005_SO1_NC1_J1_2_val_2										19.884475499848463	26.0	111.9933166232422	117	9.090909090909092	1010567.0
39053_45005_SO2_NC1_K1_1_val_1	186	200.874828	95.9	564484.0	0.001	6.57	10417.0	11150.0	0.4314170677104251	11.668052177424542	23.0	121.58829153424291	127	18.181818181818183	2584506.0
39053_45005_SO2_NC1_K1_2_val_2										17.178620167658636	23.0	111.5661491983381	117	18.181818181818183	2584506.0
41237_44641_PO1_NC4_N2_1_val_1	181	191.70972999999998	88.4	2303054.0	0.004	6.22	49444.0	52725.0	0.10476936789684549	10.581743212863003	22.0	122.96513595358029	127	9.090909090909092	50324824.0
41237_44641_PO1_NC4_N2_2_val_2										12.482470682309682	21.0	112.984355474348	117	18.181818181818183	50324824.0
41237_44641_SO1_NC1_K2_1_val_1	173	181.32051	87.9	666546.0	0.001	5.08	14384.0	15154.0	0.05675728343626287	9.838422505083344	22.0	123.3066143134348	127	9.090909090909092	26699657.0
41237_44641_SO1_NC1_K2_2_val_2										11.472984815844683	21.0	113.30696480482877	117	18.181818181818183	26699657.0
41237_44641_SO2_NC1_L2_1_val_1	185	200.493239	89.2	874133.0	0.002	6.4	18394.0	19654.0	0.20264450355396021	10.387759770909426	22.0	123.85772363842875	127	9.090909090909092	9698758.0
41237_44641_SO2_NC1_L2_2_val_2										12.376575987538303	22.0	113.77951032493027	117	18.181818181818183	9698758.0
41237_44641_SO3_NC1_M2_1_val_1	169	179.681336	90.9	398119.0	0.001	5.82	8902.0	9452.0	0.10391617311431779	9.191964560224761	21.0	121.14444820808917	127	9.090909090909092	9095793.0
41237_44641_SO3_NC1_M2_2_val_2										11.273795019217374	21.0	111.25725343573671	117	18.181818181818183	9095793.0
41299_44636_SOe_NC1_L1_1_val_1	197	207.699832	91.9	242755.0	0.000	5.47	4802.0	5080.0	0.25394616341335635	8.186905417947187	23.0	122.8099432920221	127	9.090909090909092	2000424.0
41299_44636_SOe_NC1_L1_2_val_2										9.935234498932687	22.0	112.75096629514543	117	18.181818181818183	2000424.0
41299_44963_PO1_NC3_N1_1_val_1	151	162.291924	95.3	178959.0	0.000	5.07	4101.0	4320.0	0.1456781147633304	13.291114981575987	22.0	119.09971296015905	127	9.090909090909092	2965442.0
41299_44963_PO1_NC3_N1_2_val_2										18.9200900803322	22.0	109.3230887672057	117	9.090909090909092	2965442.0
41299_44963_PO2_NC4_M1_1_val_1	157	171.692357	97.9	225419.0	0.000	5.71	4720.0	5006.0	0.21389771108939565	9.832712600773576	23.0	118.93875500935536	127	18.181818181818183	2340371.0
41299_44963_PO2_NC4_M1_2_val_2										12.319950560723086	22.0	108.71301216772896	117	18.181818181818183	2340371.0
41299_44963_PO3_NC3_O1_1_val_1	174	190.831376	98.6	1224357.0	0.002	8.16	23631.0	25732.0	0.5288019508048961	16.94929569464564	26.0	121.4512685122811	127	18.181818181818183	4866094.0
41299_44963_PO3_NC3_O1_2_val_2										22.182799406650304	25.0	111.4208998017712	117	9.090909090909092	4866094.0
41299_44963_SO1_NC1_P1_1_val_1	160	166.759109	84.3	120435.0	0.000	4.9	2875.0	3023.0	0.057150635311643945	8.989683503223873	21.0	122.37502556937952	127	9.090909090909092	5289530.0
41299_44963_SO1_NC1_P1_2_val_2										10.33945380191679	21.0	112.44416838547092	117	18.181818181818183	5289530.0
41299_44963_SO2_NC1_A2_1_val_1	210	225.02872500000004	97.1	282253.0	0.001	6.75	5068.0	5435.0	0.29139622487746347	9.454377469833403	23.0	124.25090957441675	127	18.181818181818183	1865158.0
41299_44963_SO2_NC1_A2_2_val_2										11.68038554733883	23.0	114.09274549394743	117	18.181818181818183	1865158.0
41299_44963_SO3_NC1_B2_1_val_1	207	223.726591	96.5	233643.0	0.000	6.17	4169.0	4443.0	0.41301033687811406	10.093683113320012	24.0	124.31329571651669	127	18.181818181818183	1075760.0
41299_44963_SO3_NC1_B2_2_val_2										13.742312544843813	24.0	114.07066074217298	117	9.090909090909092	1075760.0
41299_45019_EO1_NC8_C1_1_val_1	175	185.794582	85.0	20613.0	0.000	6.98	453.0	487.0	0.15133012028724757	6.558619357825151	23.0	120.02166475561894	127	18.181818181818183	321813.0
41299_45019_EO1_NC8_C1_2_val_2										8.313728686437727	22.0	107.85108121797441	117	27.27272727272727	321813.0
41299_45019_EO2_NC8_D2_1_val_1	204	211.972281	56.7	1526036.0	0.003	6.86	33820.0	36312.0	0.18454330867368796	10.134381246149857	22.0	124.9524318683404	127	9.090909090909092	19676682.0
41299_45019_EO2_NC8_D2_2_val_2										12.162221401486036	21.0	114.81262857223591	117	18.181818181818183	19676682.0
41299_45019_EO3_NC8_E2_1_val_1	188	196.76727799999998	51.5	1908441.0	0.004	6.17	44876.0	47826.0	0.18517523308941175	9.34630740003874	23.0	124.54606331687383	127	9.090909090909092	25827428.0
