Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
38897_44643_SO1_NC1_A1_1_val_1_FR	38897_44643_SO1_NC1_A1_1_val_1	142.0	30.0	69.0	30.0	499.0	156.495345	95.984412	3115.0	FR	23.0	43.0	73.0	103.0	139.0	169.0	189.0	207.0	289.0	409.0	597.0			
38897_44643_SO2_NC1_B1_1_val_1_FR	38897_44643_SO2_NC1_B1_1_val_1	200.0	130.0	58.0	30.0	500.0	209.420492	93.671751	4792.0	FR	23.0	43.0	67.0	91.0	117.0	143.0	185.0	247.0	309.0	379.0	531.0			
38897_44643_SO3_NC1_C2_1_val_1_FR	38897_44643_SO3_NC1_C2_1_val_1	213.0	130.0	63.0	30.0	500.0	220.619992	95.864958	15376.0	FR	25.0	47.0	73.0	99.0	127.0	157.0	191.0	249.0	325.0	379.0	515.0			
38897_44700_PO1_NC5_D1_1_val_1_FR	38897_44700_PO1_NC5_D1_1_val_1	217.0	130.0	66.0	30.0	500.0	228.454056	99.396273	26587.0	FR	25.0	49.0	75.0	103.0	133.0	165.0	197.0	259.0	339.0	405.0	527.0			
38897_44700_SO1_NC1_E1_1_val_1_FR	38897_44700_SO1_NC1_E1_1_val_1	180.0	130.0	62.0	30.0	500.0	192.227046	100.503394	4008.0	FR	25.0	51.0	75.0	101.0	125.0	163.0	213.0	259.0	301.0	423.0	577.0			
38897_44700_SO2_NC1_F1_1_val_1_FR	38897_44700_SO2_NC1_F1_1_val_1	208.0	130.0	65.0	30.0	500.0	218.778254	97.560644	6061.0	FR	25.0	51.0	77.0	103.0	131.0	157.0	193.0	251.0	325.0	389.0	541.0			
38897_44700_SO3_NC1_G1_1_val_1_FR	38897_44700_SO3_NC1_G1_1_val_1	184.0	130.0	60.0	30.0	500.0	198.195345	100.06702	7776.0	FR	25.0	49.0	73.0	99.0	121.0	161.0	209.0	261.0	315.0	415.0	569.0			
38897_44700_SO4_NC1_H1_1_val_1_FR	38897_44700_SO4_NC1_H1_1_val_1	187.0	130.0	57.0	30.0	500.0	201.025011	97.234937	6637.0	FR	23.0	45.0	71.0	95.0	115.0	151.0	195.0	249.0	313.0	415.0	563.0			
39053_45005_PO1_NC2_I1_1_val_1_FR	39053_45005_PO1_NC2_I1_1_val_1	195.0	130.0	58.0	30.0	500.0	210.348783	95.827235	12816.0	FR	23.0	43.0	67.0	91.0	117.0	147.0	191.0	243.0	313.0	409.0	553.0			
39053_45005_SO1_NC1_J1_1_val_1_FR	39053_45005_SO1_NC1_J1_1_val_1	190.0	130.0	56.0	30.0	500.0	206.992525	94.52252	10569.0	FR	23.0	43.0	65.0	87.0	113.0	145.0	187.0	237.0	309.0	411.0	553.0			
39053_45005_SO2_NC1_K1_1_val_1_FR	39053_45005_SO2_NC1_K1_1_val_1	186.0	130.0	55.0	30.0	499.0	200.874828	94.097549	10186.0	FR	21.0	43.0	65.0	87.0	111.0	141.0	187.0	237.0	307.0	407.0	557.0			
41237_44641_PO1_NC4_N2_1_val_1_FR	41237_44641_PO1_NC4_N2_1_val_1	181.0	130.0	58.0	30.0	500.0	191.70973	97.18772	48727.0	FR	23.0	47.0	71.0	95.0	117.0	157.0	205.0	255.0	303.0	397.0	565.0			
41237_44641_SO1_NC1_K2_1_val_1_FR	41237_44641_SO1_NC1_K2_1_val_1	173.0	30.0	68.0	30.0	500.0	181.32051	100.456442	14193.0	FR	25.0	51.0	77.0	99.0	137.0	179.0	223.0	253.0	289.0	397.0	581.0			
41237_44641_SO2_NC1_L2_1_val_1_FR	41237_44641_SO2_NC1_L2_1_val_1	185.0	130.0	56.0	30.0	500.0	200.493239	95.800805	18119.0	FR	23.0	45.0	67.0	91.0	113.0	145.0	189.0	241.0	311.0	417.0	571.0			
41237_44641_SO3_NC1_M2_1_val_1_FR	41237_44641_SO3_NC1_M2_1_val_1	169.0	130.0	58.0	30.0	500.0	179.681336	94.778778	8771.0	FR	21.0	45.0	67.0	87.0	117.0	155.0	203.0	241.0	279.0	387.0	569.0			
41299_44636_SOe_NC1_L1_1_val_1_FR	41299_44636_SOe_NC1_L1_1_val_1	197.0	130.0	61.0	30.0	500.0	207.699832	96.021226	4754.0	FR	27.0	49.0	73.0	97.0	123.0	145.0	189.0	249.0	307.0	395.0	549.0			
41299_44963_PO1_NC3_N1_1_val_1_FR	41299_44963_PO1_NC3_N1_1_val_1	151.0	130.0	58.0	30.0	500.0	162.291924	89.142693	4049.0	FR	21.0	41.0	59.0	85.0	117.0	151.0	183.0	211.0	265.0	363.0	573.0			
41299_44963_PO2_NC4_M1_1_val_1_FR	41299_44963_PO2_NC4_M1_1_val_1	157.0	130.0	53.0	30.0	500.0	171.692357	91.274587	4671.0	FR	21.0	41.0	55.0	77.0	107.0	141.0	179.0	217.0	277.0	395.0	591.0			
41299_44963_PO3_NC3_O1_1_val_1_FR	41299_44963_PO3_NC3_O1_1_val_1	174.0	130.0	52.0	30.0	500.0	190.831376	91.829704	23413.0	FR	23.0	45.0	67.0	89.0	105.0	137.0	175.0	223.0	293.0	407.0	571.0			
41299_44963_SO1_NC1_P1_1_val_1_FR	41299_44963_SO1_NC1_P1_1_val_1	160.0	30.0	71.0	30.0	499.0	166.759109	95.54515	2827.0	FR	27.0	49.0	71.0	107.0	143.0	181.0	211.0	231.0	271.0	355.0	563.0			
41299_44963_SO2_NC1_A2_1_val_1_FR	41299_44963_SO2_NC1_A2_1_val_1	210.0	130.0	65.0	30.0	500.0	225.028725	100.424969	5013.0	FR	25.0	47.0	73.0	99.0	131.0	161.0	195.0	257.0	335.0	427.0	553.0			
41299_44963_SO3_NC1_B2_1_val_1_FR	41299_44963_SO3_NC1_B2_1_val_1	207.0	130.0	63.0	30.0	500.0	223.726591	98.551593	4133.0	FR	25.0	49.0	73.0	99.0	127.0	155.0	193.0	251.0	335.0	425.0	541.0			
41299_45019_EO1_NC8_C1_1_val_1_FR	41299_45019_EO1_NC8_C1_1_val_1	175.0	30.0	62.0	30.0	491.0	185.794582	98.625627	443.0	FR	27.0	51.0	73.0	93.0	125.0	153.0	199.0	257.0	291.0	409.0	553.0			
